id,domain,task_count,raw_command,token_index,token,gold,pred,correct
CH-0001,temel_bilgisayar,3,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,11,ismini,O,YENİDEN_ADLANDIR,False
CH-0001,temel_bilgisayar,3,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,12,de,O,YENİDEN_ADLANDIR,False
CH-0004,temel_bilgisayar,1,bilgisayarın sesini 45'e getir,0,bilgisayarın,DEĞİŞTİR,DİĞER,False
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,0,ekranı,DİĞER,YAZDIR,False
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,1,projeksiyona,DİĞER,YAZDIR,False
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,2,yansıt,DİĞER,YAZDIR,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,0,geri,DİĞER,BOŞLUK,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,1,dönüşüm,DİĞER,BOŞLUK,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,2,kutusunu,DİĞER,BOŞLUK,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,3,boşalt,DİĞER,BOŞLUK,False
CH-0009,temel_bilgisayar,1,şu indirdiğim dosyayı açma ya sadece adının sonuna yedek ekle,7,sonuna,YENİDEN_ADLANDIR,YAZ,False
CH-0009,temel_bilgisayar,1,şu indirdiğim dosyayı açma ya sadece adının sonuna yedek ekle,8,yedek,YENİDEN_ADLANDIR,YAZ,False
CH-0009,temel_bilgisayar,1,şu indirdiğim dosyayı açma ya sadece adının sonuna yedek ekle,9,ekle,YENİDEN_ADLANDIR,DİĞER,False
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,7,boş,YENİ_OLUŞTUR,BOŞLUK,False
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,8,bir,YENİ_OLUŞTUR,BOŞLUK,False
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,9,not,YENİ_OLUŞTUR,KOPYALA,False
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,10,dosyası,YENİ_OLUŞTUR,KOPYALA,False
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,11,koy,YENİ_OLUŞTUR,KOPYALA,False
CH-0018,temel_bilgisayar,2,"dosyayı silme, adının başına taslak ekle ve kaydet",4,taslak,YENİDEN_ADLANDIR,TIKLA,False
CH-0018,temel_bilgisayar,2,"dosyayı silme, adının başına taslak ekle ve kaydet",5,ekle,YENİDEN_ADLANDIR,YAZ,False
CH-0021,temel_bilgisayar,1,ekrandaki küçük yazıları biraz büyüt gözüm seçmiyor,0,ekrandaki,O,BÜYÜT,False
CH-0021,temel_bilgisayar,1,ekrandaki küçük yazıları biraz büyüt gözüm seçmiyor,5,gözüm,O,SEÇ,False
CH-0021,temel_bilgisayar,1,ekrandaki küçük yazıları biraz büyüt gözüm seçmiyor,6,seçmiyor,O,SEÇ,False
CH-0022,temel_bilgisayar,1,yanlış yere gittin ayarlarda imleç boyutunu bulacaksın,0,yanlış,O,GİT,False
CH-0022,temel_bilgisayar,1,yanlış yere gittin ayarlarda imleç boyutunu bulacaksın,1,yere,O,GİT,False
CH-0022,temel_bilgisayar,1,yanlış yere gittin ayarlarda imleç boyutunu bulacaksın,2,gittin,O,GİT,False
CH-0022,temel_bilgisayar,1,yanlış yere gittin ayarlarda imleç boyutunu bulacaksın,3,ayarlarda,O,BUL,False
CH-0024,temel_bilgisayar,1,masaüstündeki son oluşturduğumuz klasörü aç,1,son,AÇ,YENİ_OLUŞTUR,False
CH-0024,temel_bilgisayar,1,masaüstündeki son oluşturduğumuz klasörü aç,2,oluşturduğumuz,AÇ,YENİ_OLUŞTUR,False
CH-0025,temel_bilgisayar,1,bilgisayarın sesi çok yüksek oldu 25'e getir,5,25'e,AZALT,DEĞİŞTİR,False
CH-0025,temel_bilgisayar,1,bilgisayarın sesi çok yüksek oldu 25'e getir,6,getir,AZALT,DEĞİŞTİR,False
CH-0026,tarayıcı_internet,2,chrome'u çalıştır ve yeni bir sekme aç,0,chrome'u,AÇ,DİĞER,False
CH-0026,tarayıcı_internet,2,chrome'u çalıştır ve yeni bir sekme aç,1,çalıştır,AÇ,DİĞER,False
CH-0027,tarayıcı_internet,2,bir sonraki sekmeye git tüm sayfayı yazdır,0,bir,SEKME_DEĞİŞTİR,GİT,False
CH-0027,tarayıcı_internet,2,bir sonraki sekmeye git tüm sayfayı yazdır,1,sonraki,SEKME_DEĞİŞTİR,GİT,False
CH-0027,tarayıcı_internet,2,bir sonraki sekmeye git tüm sayfayı yazdır,3,git,SEKME_DEĞİŞTİR,GİT,False
CH-0028,tarayıcı_internet,1,yeni sekme açmadan mevcut sekmede üniversite sitesini ara,3,mevcut,ARA,O,False
CH-0028,tarayıcı_internet,1,yeni sekme açmadan mevcut sekmede üniversite sitesini ara,4,sekmede,ARA,O,False
CH-0029,tarayıcı_internet,2,tarayıcıdaki indirme sayfasını yenile sonra pdf dosyasını indir,0,tarayıcıdaki,O,YİNELE,False
CH-0032,tarayıcı_internet,2,"hayır göndermiyorsun, formu doldurup taslak olarak bırak",2,formu,YAZ,DİĞER,False
CH-0032,tarayıcı_internet,2,"hayır göndermiyorsun, formu doldurup taslak olarak bırak",3,doldurup,YAZ,DİĞER,False
CH-0033,tarayıcı_internet,2,Chrome'da açık sekmeyi yenile ve sayfanın başına dön,5,sayfanın,KAYDIR,GEÇ,False
CH-0033,tarayıcı_internet,2,Chrome'da açık sekmeyi yenile ve sayfanın başına dön,6,başına,KAYDIR,GEÇ,False
CH-0033,tarayıcı_internet,2,Chrome'da açık sekmeyi yenile ve sayfanın başına dön,7,dön,KAYDIR,GEÇ,False
CH-0034,tarayıcı_internet,2,"Chrome'da pdf sekmesine geç, dosyayı indir, sekmeyi açık bırak",6,sekmeyi,O,DİĞER,False
CH-0034,tarayıcı_internet,2,"Chrome'da pdf sekmesine geç, dosyayı indir, sekmeyi açık bırak",7,açık,O,DİĞER,False
CH-0034,tarayıcı_internet,2,"Chrome'da pdf sekmesine geç, dosyayı indir, sekmeyi açık bırak",8,bırak,O,DİĞER,False
CH-0037,tarayıcı_internet,1,biraz aşağı kaydır ya şu butonu göremiyorum,6,göremiyorum,O,DİĞER,False
CH-0040,tarayıcı_internet,1,bu sayfayı biraz yukarı kaydır başlık kısmı lazım,0,bu,O,KAYDIR,False
CH-0040,tarayıcı_internet,1,bu sayfayı biraz yukarı kaydır başlık kısmı lazım,1,sayfayı,O,KAYDIR,False
CH-0041,tarayıcı_internet,1,şu indirme tamamlandıysa dosyayı açmadan klasörde göster,5,klasörde,DİĞER,TIKLA,False
CH-0041,tarayıcı_internet,1,şu indirme tamamlandıysa dosyayı açmadan klasörde göster,6,göster,DİĞER,TIKLA,False
CH-0043,tarayıcı_internet,1,Chrome demeyeyim işte açık olan internet sayfasında arama yap,3,açık,ARA,O,False
CH-0043,tarayıcı_internet,1,Chrome demeyeyim işte açık olan internet sayfasında arama yap,4,olan,ARA,O,False
CH-0043,tarayıcı_internet,1,Chrome demeyeyim işte açık olan internet sayfasında arama yap,5,internet,ARA,O,False
CH-0043,tarayıcı_internet,1,Chrome demeyeyim işte açık olan internet sayfasında arama yap,6,sayfasında,ARA,O,False
CH-0043,tarayıcı_internet,1,Chrome demeyeyim işte açık olan internet sayfasında arama yap,8,yap,ARA,YENİDEN_ADLANDIR,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,2,geri,O,GEÇ,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,3,dön,O,GEÇ,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,4,bir,GİT,GEÇ,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,5,önceki,GİT,GEÇ,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,6,sayfaya,GİT,GEÇ,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,7,geç,GİT,GEÇ,False
CH-0047,tarayıcı_internet,2,şu listeyi aşağı kaydır en sondaki seçeneği seç,0,şu,O,KAYDIR,False
CH-0049,tarayıcı_internet,2,Chrome'da açık sekmelerden sağdakine geç ve sayfayı biraz aşağı kaydır,1,açık,O,SEKME_DEĞİŞTİR,False
