id,domain,task_count,raw_command,token_count,token_accuracy,all_tokens_correct,gold_labels,gold_segments,predicted_task_count,predicted_labels,predicted_segments
CH-0001,temel_bilgisayar,3,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,15,0.8666666666666667,False,AÇ ; YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,AÇ:Semih klasörünü aç ; YENİ_OLUŞTUR:içine yeni bir txt dosyası oluştur ; YENİDEN_ADLANDIR:deneme yap,3,AÇ ; YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,AÇ:Semih klasörünü aç ; YENİ_OLUŞTUR:içine yeni bir txt dosyası oluştur ; YENİDEN_ADLANDIR:ismini de deneme yap
CH-0002,temel_bilgisayar,2,Projelerim klasörüne git ve içindeki her şeyi sil,8,1.0,True,GİT ; SİL,GİT:Projelerim klasörüne git ; SİL:içindeki her şeyi sil,2,GİT ; SİL,GİT:Projelerim klasörüne git ; SİL:içindeki her şeyi sil
CH-0003,temel_bilgisayar,2,görev yöneticisini aç sonra da word'ü oradan kapat,8,1.0,True,AÇ ; KAPAT,AÇ:görev yöneticisini aç ; KAPAT:word'ü oradan kapat,2,AÇ ; KAPAT,AÇ:görev yöneticisini aç ; KAPAT:word'ü oradan kapat
CH-0004,temel_bilgisayar,1,bilgisayarın sesini 45'e getir,4,0.75,False,DEĞİŞTİR,DEĞİŞTİR:bilgisayarın sesini 45'e getir,2,DİĞER ; DEĞİŞTİR,DİĞER:bilgisayarın ; DEĞİŞTİR:sesini 45'e getir
CH-0005,temel_bilgisayar,2,sağ tıkla ve yeni bir klasör oluştur,7,1.0,True,TIKLA ; YENİ_OLUŞTUR,TIKLA:sağ tıkla ; YENİ_OLUŞTUR:yeni bir klasör oluştur,2,TIKLA ; YENİ_OLUŞTUR,TIKLA:sağ tıkla ; YENİ_OLUŞTUR:yeni bir klasör oluştur
CH-0006,temel_bilgisayar,2,denetim masasını açıp fare ayarlarına git,6,1.0,True,AÇ ; GİT,AÇ:denetim masasını açıp ; GİT:fare ayarlarına git,2,AÇ ; GİT,AÇ:denetim masasını açıp ; GİT:fare ayarlarına git
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,8,0.625,False,DİĞER ; AÇ,DİĞER:ekranı projeksiyona yansıt ; AÇ:sunum dosyasını aç,2,YAZDIR ; AÇ,YAZDIR:ekranı projeksiyona yansıt ; AÇ:sunum dosyasını aç
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,8,0.5,False,DİĞER ; GEÇ,DİĞER:geri dönüşüm kutusunu boşalt ; GEÇ:masaüstüne dön,2,BOŞLUK ; GEÇ,BOŞLUK:geri dönüşüm kutusunu boşalt ; GEÇ:masaüstüne dön
CH-0009,temel_bilgisayar,1,şu indirdiğim dosyayı açma ya sadece adının sonuna yedek ekle,10,0.7,False,YENİDEN_ADLANDIR,YENİDEN_ADLANDIR:adının sonuna yedek ekle,3,YENİDEN_ADLANDIR ; YAZ ; DİĞER,YENİDEN_ADLANDIR:adının ; YAZ:sonuna yedek ; DİĞER:ekle
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,12,0.5833333333333334,False,YENİ_OLUŞTUR ; YENİ_OLUŞTUR,YENİ_OLUŞTUR:yeni bir klasör oluştur ; YENİ_OLUŞTUR:boş bir not dosyası koy,3,YENİ_OLUŞTUR ; BOŞLUK ; KOPYALA,YENİ_OLUŞTUR:yeni bir klasör oluştur ; BOŞLUK:boş bir ; KOPYALA:not dosyası koy
CH-0011,temel_bilgisayar,1,"yok onu silme, dosyayı belgeler klasörüne taşı sadece",8,1.0,True,TAŞI,TAŞI:dosyayı belgeler klasörüne taşı,1,TAŞI,TAŞI:dosyayı belgeler klasörüne taşı
CH-0012,temel_bilgisayar,1,ayarlarda ekran parlaklığını biraz azalt sesle uğraşma,7,1.0,True,AZALT,AZALT:ekran parlaklığını biraz azalt,1,AZALT,AZALT:ekran parlaklığını biraz azalt
CH-0013,temel_bilgisayar,1,şey görev yöneticisini aç ama hiçbir işlemi kapatma,8,1.0,True,AÇ,AÇ:görev yöneticisini aç,1,AÇ,AÇ:görev yöneticisini aç
CH-0014,temel_bilgisayar,1,masaüstündeki eski ekran görüntülerini silme sadece ayrı bir klasöre taşı,10,1.0,True,TAŞI,TAŞI:ayrı bir klasöre taşı,1,TAŞI,TAŞI:ayrı bir klasöre taşı
