id,domain,task_count,raw_command,token_count,token_accuracy,all_tokens_correct,gold_labels,gold_segments,predicted_task_count,predicted_labels,predicted_segments
CH-0004,temel_bilgisayar,1,bilgisayarın sesini 45'e getir,4,0.0,False,DEĞİŞTİR,DEĞİŞTİR:bilgisayarın sesini 45'e getir,1,DİĞER,DİĞER:bilgisayarın sesini 45'e getir
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,8,0.25,False,GİT,GİT:bir önceki sayfaya geç,2,SEKME_DEĞİŞTİR ; GEÇ,SEKME_DEĞİŞTİR:geri dön ; GEÇ:bir önceki sayfaya geç
CH-0043,tarayıcı_internet,1,Chrome demeyeyim işte açık olan internet sayfasında arama yap,9,0.3333333333333333,False,ARA,ARA:açık olan internet sayfasında arama yap,0,,
CH-0073,ofis_metin_düzenleme,1,açık olan metinde iki boşluk varsa tek boşluğa indir,9,0.3333333333333333,False,DEĞİŞTİR,DEĞİŞTİR:iki boşluk varsa tek boşluğa indir,2,BOŞLUK ; KAYDIR,BOŞLUK:boşluk ; KAYDIR:tek boşluğa indir
CH-0076,dosya_yazılım_geliştirme,4,ekrandaki kodu kopyala yeni bir spyder dosyası aç ve içine yapıştır daha sonra dosyanın ismini de yeni proje olarak oluştur,20,0.35,False,KOPYALA ; YENİ_OLUŞTUR ; YAPIŞTIR ; YENİDEN_ADLANDIR,KOPYALA:kodu kopyala ; YENİ_OLUŞTUR:yeni bir spyder dosyası aç ; YAPIŞTIR:içine yapıştır ; YENİDEN_ADLANDIR:yeni proje olarak oluştur,4,KOPYALA ; AÇ ; YAPIŞTIR ; YENİ_OLUŞTUR,KOPYALA:ekrandaki kodu kopyala ; AÇ:yeni bir spyder dosyası aç ; YAPIŞTIR:içine yapıştır ; YENİ_OLUŞTUR:dosyanın ismini de yeni proje olarak oluştur
CH-0066,ofis_metin_düzenleme,1,Word belgesini yazdırma ayarına getir ama yazdırmayı başlatma,8,0.375,False,YAZDIR,YAZDIR:Word belgesini yazdırma ayarına getir,1,DİĞER,DİĞER:Word belgesini yazdırma ayarına getir
CH-0055,ofis_metin_düzenleme,4,tüm metni seç ve yazı tipini Times new roman yapıp fontunu da 12 ve iki yana yaslı olarak ayarla,19,0.42105263157894735,False,SEÇ ; DEĞİŞTİR ; DEĞİŞTİR,SEÇ:tüm metni seç ; DEĞİŞTİR:yazı tipini Times new roman yapıp fontunu da 12 ; DEĞİŞTİR:iki yana yaslı olarak ayarla,6,SEÇ ; YENİDEN_ADLANDIR ; DİĞER ; DEĞİŞTİR ; DEĞİŞTİR ; DİĞER,SEÇ:tüm metni seç ; YENİDEN_ADLANDIR:yazı tipini Times new roman yapıp ; DİĞER:fontunu ; DEĞİŞTİR:12 ; DEĞİŞTİR:iki yana ; DİĞER:yaslı olarak ayarla
CH-0061,ofis_metin_düzenleme,2,"Excel'de toplam satırını bul, üstüne yeni bir satır ekle",9,0.4444444444444444,False,BUL ; YENİ_OLUŞTUR,"BUL:toplam satırını bul, ; YENİ_OLUŞTUR:üstüne yeni bir satır ekle",2,BUL ; BOŞLUK,"BUL:toplam satırını bul, ; BOŞLUK:üstüne yeni bir satır ekle"
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,12,0.5,False,YENİ_OLUŞTUR ; YENİ_OLUŞTUR,YENİ_OLUŞTUR:yeni bir klasör oluştur ; YENİ_OLUŞTUR:boş bir not dosyası koy,4,YENİ_OLUŞTUR ; BOŞLUK ; BOŞLUK ; KOPYALA,YENİ_OLUŞTUR:yeni bir klasör oluştur ; BOŞLUK:içine ; BOŞLUK:boş bir ; KOPYALA:not dosyası koy
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,8,0.5,False,DİĞER ; GEÇ,DİĞER:geri dönüşüm kutusunu boşalt ; GEÇ:masaüstüne dön,2,BOŞLUK ; GEÇ,BOŞLUK:geri dönüşüm kutusunu boşalt ; GEÇ:masaüstüne dön
CH-0018,temel_bilgisayar,2,"dosyayı silme, adının başına taslak ekle ve kaydet",8,0.5,False,YENİDEN_ADLANDIR ; KAYDET,YENİDEN_ADLANDIR:adının başına taslak ekle ; KAYDET:kaydet,2,YAZ ; KAYDET,YAZ:adının başına taslak ekle ; KAYDET:kaydet
CH-0068,ofis_metin_düzenleme,2,"Excel'de hücredeki fazla boşluğu sil, sonra formülü tekrar uygula",9,0.5555555555555556,False,SİL ; YİNELE,"SİL:fazla boşluğu sil, ; YİNELE:formülü tekrar uygula",2,SİL ; DİĞER,"SİL:hücredeki fazla boşluğu sil, ; DİĞER:formülü tekrar uygula"
CH-0097,dosya_yazılım_geliştirme,2,"geçici cache dosyasını sil, sonra test komutunu yeniden çalıştır",9,0.5555555555555556,False,SİL ; YİNELE,"SİL:geçici cache dosyasını sil, ; YİNELE:test komutunu yeniden çalıştır",2,SİL ; DİĞER,"SİL:geçici cache dosyasını sil, ; DİĞER:test komutunu yeniden çalıştır"
CH-0032,tarayıcı_internet,2,"hayır göndermiyorsun, formu doldurup taslak olarak bırak",7,0.5714285714285714,False,YAZ ; DİĞER,YAZ:formu doldurup ; DİĞER:taslak olarak bırak,2,YAZ ; BOŞLUK,YAZ:formu doldurup ; BOŞLUK:taslak olarak bırak
CH-0065,ofis_metin_düzenleme,1,Excel'de formülü tekrar uygula ama satırları silme,7,0.5714285714285714,False,YİNELE,YİNELE:formülü tekrar uygula,1,DİĞER,DİĞER:formülü tekrar uygula
CH-0069,ofis_metin_düzenleme,1,"Word'de başlığı büyütme, sadece altındaki açıklamayı italik yap",8,0.625,False,DEĞİŞTİR,DEĞİŞTİR:altındaki açıklamayı italik yap,2,DEĞİŞTİR ; YENİDEN_ADLANDIR,DEĞİŞTİR:altındaki ; YENİDEN_ADLANDIR:açıklamayı italik yap
CH-0033,tarayıcı_internet,2,Chrome'da açık sekmeyi yenile ve sayfanın başına dön,8,0.625,False,YİNELE ; KAYDIR,YİNELE:açık sekmeyi yenile ; KAYDIR:sayfanın başına dön,2,YİNELE ; GEÇ,YİNELE:açık sekmeyi yenile ; GEÇ:sayfanın başına dön
CH-0074,ofis_metin_düzenleme,1,raporun yalnızca ilk sayfasını yazdırmaya hazırla,6,0.6666666666666666,False,YAZDIR,YAZDIR:ilk sayfasını yazdırmaya hazırla,1,YAZDIR,YAZDIR:raporun yalnızca ilk sayfasını yazdırmaya hazırla
CH-0070,ofis_metin_düzenleme,3,"PowerPoint'te üçüncü slayta git, resmi seç, kenarını biraz büyüt",9,0.6666666666666666,False,GEÇ ; SEÇ ; BÜYÜT,"GEÇ:üçüncü slayta git, ; SEÇ:resmi seç, ; BÜYÜT:kenarını biraz büyüt",3,GİT ; SEÇ ; BÜYÜT,"GİT:üçüncü slayta git, ; SEÇ:resmi seç, ; BÜYÜT:kenarını biraz büyüt"
CH-0083,dosya_yazılım_geliştirme,3,query sekmesine git select * from yaz ve çalıştır,9,0.6666666666666666,False,SEKME_DEĞİŞTİR ; YAZ ; DİĞER,SEKME_DEĞİŞTİR:query sekmesine git ; YAZ:select * from yaz ; DİĞER:çalıştır,3,GİT ; YAZ ; DİĞER,GİT:query sekmesine git ; YAZ:select * from yaz ; DİĞER:çalıştır
CH-0034,tarayıcı_internet,2,"Chrome'da pdf sekmesine geç, dosyayı indir, sekmeyi açık bırak",9,0.6666666666666666,False,SEKME_DEĞİŞTİR ; İNDİR,"SEKME_DEĞİŞTİR:pdf sekmesine geç, ; İNDİR:dosyayı indir,",3,SEKME_DEĞİŞTİR ; İNDİR ; DİĞER,"SEKME_DEĞİŞTİR:pdf sekmesine geç, ; İNDİR:dosyayı indir, ; DİĞER:sekmeyi açık bırak"
CH-0049,tarayıcı_internet,2,Chrome'da açık sekmelerden sağdakine geç ve sayfayı biraz aşağı kaydır,10,0.7,False,SEKME_DEĞİŞTİR ; KAYDIR,SEKME_DEĞİŞTİR:sağdakine geç ; KAYDIR:sayfayı biraz aşağı kaydır,2,GEÇ ; KAYDIR,GEÇ:sekmelerden sağdakine geç ; KAYDIR:sayfayı biraz aşağı kaydır
CH-0025,temel_bilgisayar,1,bilgisayarın sesi çok yüksek oldu 25'e getir,7,0.7142857142857143,False,AZALT,AZALT:25'e getir,2,DEĞİŞTİR ; DİĞER,DEĞİŞTİR:25'e ; DİĞER:getir
CH-0026,tarayıcı_internet,2,chrome'u çalıştır ve yeni bir sekme aç,7,0.7142857142857143,False,AÇ ; AÇ,AÇ:chrome'u çalıştır ; AÇ:yeni bir sekme aç,2,DİĞER ; AÇ,DİĞER:chrome'u çalıştır ; AÇ:yeni bir sekme aç
CH-0078,dosya_yazılım_geliştirme,3,kodu commitle ve açıklama olarak da her şey tamamlandı yaz daha sonra da push et,15,0.7333333333333333,False,GÖNDER ; YAZ ; YÜKLE,GÖNDER:kodu commitle ; YAZ:açıklama olarak da her şey tamamlandı yaz ; YÜKLE:push et,4,YAZ ; YAZ ; KAYDET ; GÖNDER,YAZ:kodu commitle ; YAZ:açıklama olarak da her şey tamamlandı yaz ; KAYDET:push ; GÖNDER:et
CH-0052,ofis_metin_düzenleme,2,4 satır 3 sütundan oluşan bir tablo oluştur ilk satırı da birleştir,12,0.75,False,YENİ_OLUŞTUR ; DİĞER,YENİ_OLUŞTUR:4 satır 3 sütundan oluşan bir tablo oluştur ; DİĞER:ilk satırı da birleştir,3,YENİ_OLUŞTUR ; DEĞİŞTİR ; DİĞER,YENİ_OLUŞTUR:3 sütundan oluşan bir tablo oluştur ; DEĞİŞTİR:ilk ; DİĞER:satırı da birleştir
CH-0048,tarayıcı_internet,1,tarayıcıda aramayı tekrar yap ama ilk sonuca tıklama,8,0.75,False,YİNELE,YİNELE:aramayı tekrar yap,3,DEĞİŞTİR ; YİNELE ; DEĞİŞTİR,DEĞİŞTİR:aramayı ; YİNELE:tekrar ; DEĞİŞTİR:yap
CH-0040,tarayıcı_internet,1,bu sayfayı biraz yukarı kaydır başlık kısmı lazım,8,0.75,False,KAYDIR,KAYDIR:biraz yukarı kaydır,1,KAYDIR,KAYDIR:bu sayfayı biraz yukarı kaydır
CH-0028,tarayıcı_internet,1,yeni sekme açmadan mevcut sekmede üniversite sitesini ara,8,0.75,False,ARA,ARA:mevcut sekmede üniversite sitesini ara,1,ARA,ARA:üniversite sitesini ara
CH-0039,tarayıcı_internet,2,tarayıcıda olduğumuz sayfayı yenile sonra tekrar aşağı in,8,0.75,False,YİNELE ; KAYDIR,YİNELE:sayfayı yenile ; KAYDIR:tekrar aşağı in,2,YİNELE ; KAYDIR,YİNELE:tarayıcıda olduğumuz sayfayı yenile ; KAYDIR:tekrar aşağı in
CH-0051,ofis_metin_düzenleme,3,yeni bir sayfa aç içine 14 punto olacak şekilde bir başlık ekle başlığa da projem yaz,16,0.75,False,AÇ ; YAZ,AÇ:yeni bir sayfa aç ; YAZ:14 punto olacak şekilde bir başlık ekle başlığa da projem yaz,2,AÇ ; YAZ,AÇ:yeni bir sayfa aç ; YAZ:bir başlık ekle başlığa da projem yaz
CH-0084,dosya_yazılım_geliştirme,3,terminali açıp npm test komutunu çalıştır ama sonucu göndermeden ekranda bırak,11,0.8181818181818182,False,AÇ ; DİĞER ; DİĞER,AÇ:terminali açıp ; DİĞER:npm test komutunu çalıştır ; DİĞER:ekranda bırak,3,AÇ ; DİĞER ; BOŞLUK,AÇ:terminali açıp ; DİĞER:npm test komutunu çalıştır ; BOŞLUK:ekranda bırak
CH-0090,dosya_yazılım_geliştirme,3,"terminalde docker ps yaz sonra enter bas, çıkan container adını kopyala",11,0.8181818181818182,False,YAZ ; ENTER ; KOPYALA,"YAZ:docker ps yaz ; ENTER:enter bas, ; KOPYALA:container adını kopyala",3,YAZ ; ENTER ; KOPYALA,"YAZ:terminalde docker ps yaz ; ENTER:enter bas, ; KOPYALA:çıkan container adını kopyala"
CH-0096,dosya_yazılım_geliştirme,3,"terminalde komut satırına pip install yaz, bir boşluk bırak, paket adını yapıştır",12,0.8333333333333334,False,YAZ ; BOŞLUK ; YAPIŞTIR,"YAZ:pip install yaz, ; BOŞLUK:bir boşluk bırak, ; YAPIŞTIR:paket adını yapıştır",3,YAZ ; BOŞLUK ; YAPIŞTIR,"YAZ:komut satırına pip install yaz, ; BOŞLUK:bir boşluk bırak, ; YAPIŞTIR:paket adını yapıştır"
CH-0086,dosya_yazılım_geliştirme,2,README dosyasının en altına git ve kurulum notu diye bir başlık ekle,12,0.8333333333333334,False,GİT ; YAZ,GİT:en altına git ; YAZ:kurulum notu diye bir başlık ekle,2,GİT ; YAZ,GİT:README dosyasının en altına git ; YAZ:kurulum notu diye bir başlık ekle
CH-0021,temel_bilgisayar,1,ekrandaki küçük yazıları biraz büyüt gözüm seçmiyor,7,0.8571428571428571,False,BÜYÜT,BÜYÜT:küçük yazıları biraz büyüt,1,BÜYÜT,BÜYÜT:ekrandaki küçük yazıları biraz büyüt
CH-0022,temel_bilgisayar,1,yanlış yere gittin ayarlarda imleç boyutunu bulacaksın,7,0.8571428571428571,False,BUL,BUL:imleç boyutunu bulacaksın,1,BUL,BUL:ayarlarda imleç boyutunu bulacaksın
CH-0027,tarayıcı_internet,2,bir sonraki sekmeye git tüm sayfayı yazdır,7,0.8571428571428571,False,SEKME_DEĞİŞTİR ; YAZDIR,SEKME_DEĞİŞTİR:bir sonraki sekmeye git ; YAZDIR:tüm sayfayı yazdır,3,SEKME_DEĞİŞTİR ; GİT ; YAZDIR,SEKME_DEĞİŞTİR:bir sonraki sekmeye ; GİT:git ; YAZDIR:tüm sayfayı yazdır
CH-0001,temel_bilgisayar,3,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,15,0.8666666666666667,False,AÇ ; YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,AÇ:Semih klasörünü aç ; YENİ_OLUŞTUR:içine yeni bir txt dosyası oluştur ; YENİDEN_ADLANDIR:deneme yap,3,AÇ ; YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,AÇ:Semih klasörünü aç ; YENİ_OLUŞTUR:içine yeni bir txt dosyası oluştur ; YENİDEN_ADLANDIR:ismini de deneme yap
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,8,0.875,False,DİĞER ; AÇ,DİĞER:ekranı projeksiyona yansıt ; AÇ:sunum dosyasını aç,4,DİĞER ; DEĞİŞTİR ; DİĞER ; AÇ,DİĞER:ekranı ; DEĞİŞTİR:projeksiyona ; DİĞER:yansıt ; AÇ:sunum dosyasını aç
CH-0062,ofis_metin_düzenleme,3,"Word'deki tabloyu seç, kenarlıklarını sade yap, belgeyi kaydet",8,0.875,False,SEÇ ; DEĞİŞTİR ; KAYDET,"SEÇ:tabloyu seç, ; DEĞİŞTİR:kenarlıklarını sade yap, ; KAYDET:belgeyi kaydet",3,SEÇ ; DEĞİŞTİR ; KAYDET,"SEÇ:Word'deki tabloyu seç, ; DEĞİŞTİR:kenarlıklarını sade yap, ; KAYDET:belgeyi kaydet"
CH-0047,tarayıcı_internet,2,şu listeyi aşağı kaydır en sondaki seçeneği seç,8,0.875,False,KAYDIR ; SEÇ,KAYDIR:listeyi aşağı kaydır ; SEÇ:en sondaki seçeneği seç,2,KAYDIR ; SEÇ,KAYDIR:şu listeyi aşağı kaydır ; SEÇ:en sondaki seçeneği seç
CH-0045,tarayıcı_internet,2,şu sayfada başvuru dosyası nerede onu bulup indir,8,0.875,False,BUL ; İNDİR,BUL:başvuru dosyası nerede onu bulup ; İNDİR:indir,2,BUL ; İNDİR,BUL:dosyası nerede onu bulup ; İNDİR:indir
CH-0075,ofis_metin_düzenleme,2,belgede seçili kısmı kopyala sonra yorum alanına yapıştır,8,0.875,False,KOPYALA ; YAPIŞTIR,KOPYALA:seçili kısmı kopyala ; YAPIŞTIR:yorum alanına yapıştır,2,KOPYALA ; YAPIŞTIR,KOPYALA:belgede seçili kısmı kopyala ; YAPIŞTIR:yorum alanına yapıştır
