model,id,domain,task_count,raw_command,token_index,token,gold_boundary,pred_boundary,gold_task,pred_task,boundary_correct,task_correct,both_correct,normalized
Gemini,CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,0,dosyya,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,1,gezginini,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,2,aç,I-TASK,I-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,3,indirmelere,B-TASK,B-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,4,git,I-TASK,I-TASK,GİT,GİT,True,True,True,False
Gemini,CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,5,pdfyi,B-TASK,B-TASK,BUL,BUL,True,True,True,False
Gemini,CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,6,bul,I-TASK,I-TASK,BUL,BUL,True,True,True,False
Gemini,CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,7,ve,O,O,O,O,True,True,True,False
Gemini,CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,8,aç,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
Gemini,CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,0,maili,O,O,O,O,True,True,True,False
Gemini,CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,1,gönder,O,O,O,O,True,True,True,False
Gemini,CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,2,dur,O,O,O,O,True,True,True,False
Gemini,CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,3,ek,O,O,O,O,True,True,True,False
Gemini,CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,4,koymadım,O,O,O,O,True,True,True,False
Gemini,CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,5,dosyayı,B-TASK,B-TASK,YÜKLE,YÜKLE,True,True,True,False
Gemini,CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,6,yükle,I-TASK,I-TASK,YÜKLE,YÜKLE,True,True,True,False
Gemini,CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,7,sonra,O,O,O,O,True,True,True,False
Gemini,CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,8,gönder,B-TASK,B-TASK,GÖNDER,GÖNDER,True,True,True,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,0,sekmeyi,O,O,O,O,True,True,True,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,1,kapat,O,O,O,O,True,True,True,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,2,değil,O,O,O,O,True,True,True,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,3,onu,O,O,O,O,True,True,True,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,4,değil,O,O,O,O,True,True,True,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,5,önce,O,O,O,O,True,True,True,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,6,sonraki,B-TASK,B-TASK,SEKME_DEĞİŞTİR,GEÇ,True,False,False,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,7,sekmeye,I-TASK,I-TASK,SEKME_DEĞİŞTİR,GEÇ,True,False,False,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,8,geç,I-TASK,I-TASK,SEKME_DEĞİŞTİR,GEÇ,True,False,False,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,9,sonra,O,O,O,O,True,True,True,False
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,10,kapat,B-TASK,B-TASK,KAPAT,KAPAT,True,True,True,False
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,0,sunumu,B-TASK,B-TASK,AÇ,AÇ,True,True,True,False
