id,domain,raw_command,tokens,annotator_boundary_labels,annotator_task_token_labels,notes
CK-2702,dosya_yazılım_geliştirme,şuradaki klasörü taşımadan önce yolunu kopyala sonra sol panele geç,"[""şuradaki"", ""klasörü"", ""taşımadan"", ""önce"", ""yolunu"", ""kopyala"", ""sonra"", ""sol"", ""panele"", ""geç""]","[""O"",""O"",""O"",""O"",""B-TASK"",""I-TASK"",""O"",""B-TASK"",""I-TASK"",""I-TASK""]","[""O"",""O"",""O"",""O"",""KOPYALA"",""KOPYALA"",""O"",""GEÇ"",""GEÇ"",""GEÇ""]",
CK-2164,ofis_metin_düzenleme,ekseli aç c sütununu seç filtreyi değişdir sonuçları yazdır,"[""ekseli"", ""aç"", ""c"", ""sütununu"", ""seç"", ""filtreyi"", ""değişdir"", ""sonuçları"", ""yazdır""]","[""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""AÇ"",""AÇ"",""SEÇ"",""SEÇ"",""SEÇ"",""DEĞİŞTİR"",""DEĞİŞTİR"",""YAZDIR"",""YAZDIR""]",
CK-2840,ofis_metin_düzenleme,bul kutusuna hata yaz ve sonraki sonucu bul,"[""bul"", ""kutusuna"", ""hata"", ""yaz"", ""ve"", ""sonraki"", ""sonucu"", ""bul""]","[""O"",""O"",""B-TASK"",""I-TASK"",""O"",""B-TASK"",""I-TASK"",""I-TASK""]","[""O"",""O"",""YAZ"",""YAZ"",""O"",""BUL"",""BUL"",""BUL""]",
CK-3265,ofis_metin_düzenleme,başlığı bul sonucu seç kes,"[""başlığı"", ""bul"", ""sonucu"", ""seç"", ""kes""]","[""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK""]","[""BUL"",""BUL"",""SEÇ"",""SEÇ"",""KES""]",
CK-2413,temel_bilgisayar,şimdilik bu pencere kalsın alttaki ayar kutusuna geç erişilebilirliği aç,"[""şimdilik"", ""bu"", ""pencere"", ""kalsın"", ""alttaki"", ""ayar"", ""kutusuna"", ""geç"", ""erişilebilirliği"", ""aç""]","[""O"",""O"",""O"",""O"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""O"",""O"",""O"",""O"",""GEÇ"",""GEÇ"",""GEÇ"",""GEÇ"",""AÇ"",""AÇ""]",
CK-3812,ofis_metin_düzenleme,Excel'de oran sütununu yüzde biçimine değiştir,"[""Excel'de"", ""oran"", ""sütununu"", ""yüzde"", ""biçimine"", ""değiştir""]","[""O"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""I-TASK""]","[""O"",""DEĞİŞTİR"",""DEĞİŞTİR"",""DEĞİŞTİR"",""DEĞİŞTİR"",""DEĞİŞTİR""]",
CK-3179,ofis_metin_düzenleme,notun sonuna boşluk bırak kısa açıklama yaz kaydet gönder,"[""notun"", ""sonuna"", ""boşluk"", ""bırak"", ""kısa"", ""açıklama"", ""yaz"", ""kaydet"", ""gönder""]","[""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""B-TASK""]","[""BOŞLUK"",""BOŞLUK"",""BOŞLUK"",""BOŞLUK"",""YAZ"",""YAZ"",""YAZ"",""KAYDET"",""GÖNDER""]",
CK-3244,tarayıcı_internet,linke basma aşağı kaydır pdf başlığını bul bağlantıyı kopyala dosyayı indir,"[""linke"", ""basma"", ""aşağı"", ""kaydır"", ""pdf"", ""başlığını"", ""bul"", ""bağlantıyı"", ""kopyala"", ""dosyayı"", ""indir""]","[""O"",""O"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""I-TASK"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""O"",""O"",""KAYDIR"",""KAYDIR"",""BUL"",""BUL"",""BUL"",""KOPYALA"",""KOPYALA"",""İNDİR"",""İNDİR""]",
CK-2073,ofis_metin_düzenleme,grafiği yazdırma grafiği görsel olarak indir sonra adını grafik final yap,"[""grafiği"", ""yazdırma"", ""grafiği"", ""görsel"", ""olarak"", ""indir"", ""sonra"", ""adını"", ""grafik"", ""final"", ""yap""]","[""O"",""O"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK"",""O"",""B-TASK"",""I-TASK"",""I-TASK"",""I-TASK""]","[""O"",""O"",""İNDİR"",""İNDİR"",""İNDİR"",""İNDİR"",""O"",""YENİDEN_ADLANDIR"",""YENİDEN_ADLANDIR"",""YENİDEN_ADLANDIR"",""YENİDEN_ADLANDIR""]",
CK-1848,temel_bilgisayar,şu arşivi seç masaüstüne çıkar,"[""şu"", ""arşivi"", ""seç"", ""masaüstüne"", ""çıkar""]","[""O"",""B-TASK"",""I-TASK"",""B-TASK"",""I-TASK""]","[""O"",""SEÇ"",""SEÇ"",""TAŞI"",""TAŞI""]",
