id,domain,task_count,raw_command,token_index,token,gold,pred,correct
CH-0001,temel_bilgisayar,3,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,0,masaüstündeki,O,AÇ,False
CH-0001,temel_bilgisayar,3,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,11,ismini,O,YENİDEN_ADLANDIR,False
CH-0001,temel_bilgisayar,3,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,12,de,O,YENİDEN_ADLANDIR,False
CH-0003,temel_bilgisayar,2,görev yöneticisini aç sonra da word'ü oradan kapat,4,da,O,DİĞER,False
CH-0004,temel_bilgisayar,1,bilgisayarın sesini 45'e getir,0,bilgisayarın,DEĞİŞTİR,O,False
CH-0004,temel_bilgisayar,1,bilgisayarın sesini 45'e getir,1,sesini,DEĞİŞTİR,DİĞER,False
CH-0004,temel_bilgisayar,1,bilgisayarın sesini 45'e getir,2,45'e,DEĞİŞTİR,DİĞER,False
CH-0004,temel_bilgisayar,1,bilgisayarın sesini 45'e getir,3,getir,DEĞİŞTİR,DİĞER,False
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,0,ekranı,DİĞER,O,False
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,1,projeksiyona,DİĞER,O,False
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,2,yansıt,DİĞER,O,False
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,4,da,O,AÇ,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,0,geri,DİĞER,O,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,1,dönüşüm,DİĞER,O,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,2,kutusunu,DİĞER,O,False
