id,no,domain,raw_command,token_count,predicted_task_count,predicted_task_labels,predicted_task_segments,review_flag,manual_keep,manual_corrected_task_segments,manual_corrected_task_labels,manual_note,needs_review
CK-3703,1,temel_bilgisayar,şu açık pencereyi kenara al ama kapatma,7,1,TAŞI,TAŞI:açık pencereyi kenara al,riskli_ifade,1,açık pencereyi kenara al,TAŞI,,True
CK-3704,2,temel_bilgisayar,masaüstünde duran klasörü açmadan adının sonuna eski yaz,8,1,YAZ,YAZ:adının sonuna eski yaz,riskli_ifade,1,adının sonuna eski yaz,YAZ,,True
CK-3705,3,temel_bilgisayar,ayarlarda ses kısmına git ve seviyeyi 25 yap,8,2,GİT ; DEĞİŞTİR,GİT:ayarlarda ses kısmına git ; DEĞİŞTİR:seviyeyi 25 yap,riskli_ifade | kontrol_gereken_label,1,ayarlarda ses kısmına git ; seviyeyi 25 yap,GİT ; DEĞİŞTİR,,True
CK-3706,4,temel_bilgisayar,parlaklığı biraz değil direkt 45’e çek,6,1,KAYDIR,KAYDIR:direkt 45’e çek,riskli_ifade,1,direkt 45’e çek,KAYDIR,,True
CK-3707,5,temel_bilgisayar,hayır orası değil görev çubuğundaki arama yerine geç,8,1,GEÇ,GEÇ:arama yerine geç,riskli_ifade | kontrol_gereken_label,1,arama yerine geç,GEÇ,,True
CK-3708,6,temel_bilgisayar,ekrandaki metin çok ufak büyüteci bir tık aç,8,2,BÜYÜT ; AÇ,BÜYÜT:büyüteci ; AÇ:bir tık aç,,1,büyüteci ; bir tık aç,BÜYÜT ; AÇ,,False
CK-3709,7,temel_bilgisayar,şu bildirimi silme sadece gizle,5,1,DİĞER,DİĞER:gizle,riskli_ifade | kontrol_gereken_label,1,gizle,DİĞER,,True
CK-3710,8,temel_bilgisayar,açık olan pencereyi küçült sonra masaüstünü göster,7,2,KÜÇÜLT ; DİĞER,KÜÇÜLT:açık olan pencereyi küçült ; DİĞER:masaüstünü göster,riskli_ifade | kontrol_gereken_label,1,açık olan pencereyi küçült ; masaüstünü göster,KÜÇÜLT ; DİĞER,,True
CK-3711,9,temel_bilgisayar,imleç boyutunu büyük yapma orta ayara getir,7,2,GEÇ ; DİĞER,GEÇ:orta ayara ; DİĞER:getir,riskli_ifade | kontrol_gereken_label,1,orta ayara ; getir,GEÇ ; DİĞER,,True
CK-3712,10,temel_bilgisayar,başlangıç menüsünde ekran klavyesini ara,5,1,ARA,ARA:ekran klavyesini ara,,1,ekran klavyesini ara,ARA,,False
CK-3713,11,temel_bilgisayar,şu dosyayı çöp kutusuna atma yedek klasörüne al,8,1,TAŞI,TAŞI:yedek klasörüne al,,1,yedek klasörüne al,TAŞI,,False
CK-3714,12,temel_bilgisayar,masaüstündeki boş yere tıkla ve yeni klasör oluştur,8,2,TIKLA ; YENİ_OLUŞTUR,TIKLA:boş yere tıkla ; YENİ_OLUŞTUR:yeni klasör oluştur,,1,boş yere tıkla ; yeni klasör oluştur,TIKLA ; YENİ_OLUŞTUR,,False
CK-3715,13,temel_bilgisayar,ekrandaki uyarının metnini kopyala sonra pencereyi kapat,7,2,KOPYALA ; KAPAT,KOPYALA:ekrandaki uyarının metnini kopyala ; KAPAT:pencereyi kapat,,1,ekrandaki uyarının metnini kopyala ; pencereyi kapat,KOPYALA ; KAPAT,,False
CK-3716,14,temel_bilgisayar,ayarlar penceresini kapatma erişilebilirlik bölümüne dön,6,1,GEÇ,GEÇ:erişilebilirlik bölümüne dön,riskli_ifade | kontrol_gereken_label,1,erişilebilirlik bölümüne dön,GEÇ,,True
CK-3717,15,temel_bilgisayar,bu pencereyi biraz aşağı taşı üst taraf görünsün,8,2,TAŞI ; DİĞER,TAŞI:bu pencereyi biraz aşağı taşı ; DİĞER:üst taraf görünsün,kontrol_gereken_label,1,bu pencereyi biraz aşağı taşı ; üst taraf görünsün,TAŞI ; DİĞER,,True
