id,domain,raw_command,tokens,annotator_boundary_labels,annotator_task_token_labels,notes
CK-2702,dosya_yazılım_geliştirme,şuradaki klasörü taşımadan önce yolunu kopyala sonra sol panele geç,"[""şuradaki"", ""klasörü"", ""taşımadan"", ""önce"", ""yolunu"", ""kopyala"", ""sonra"", ""sol"", ""panele"", ""geç""]",,,
CK-2164,ofis_metin_düzenleme,ekseli aç c sütununu seç filtreyi değişdir sonuçları yazdır,"[""ekseli"", ""aç"", ""c"", ""sütununu"", ""seç"", ""filtreyi"", ""değişdir"", ""sonuçları"", ""yazdır""]",,,
CK-2840,ofis_metin_düzenleme,bul kutusuna hata yaz ve sonraki sonucu bul,"[""bul"", ""kutusuna"", ""hata"", ""yaz"", ""ve"", ""sonraki"", ""sonucu"", ""bul""]",,,
CK-3265,ofis_metin_düzenleme,başlığı bul sonucu seç kes,"[""başlığı"", ""bul"", ""sonucu"", ""seç"", ""kes""]",,,
CK-2413,temel_bilgisayar,şimdilik bu pencere kalsın alttaki ayar kutusuna geç erişilebilirliği aç,"[""şimdilik"", ""bu"", ""pencere"", ""kalsın"", ""alttaki"", ""ayar"", ""kutusuna"", ""geç"", ""erişilebilirliği"", ""aç""]",,,
CK-3812,ofis_metin_düzenleme,Excel'de oran sütununu yüzde biçimine değiştir,"[""Excel'de"", ""oran"", ""sütununu"", ""yüzde"", ""biçimine"", ""değiştir""]",,,
CK-3179,ofis_metin_düzenleme,notun sonuna boşluk bırak kısa açıklama yaz kaydet gönder,"[""notun"", ""sonuna"", ""boşluk"", ""bırak"", ""kısa"", ""açıklama"", ""yaz"", ""kaydet"", ""gönder""]",,,
CK-3244,tarayıcı_internet,linke basma aşağı kaydır pdf başlığını bul bağlantıyı kopyala dosyayı indir,"[""linke"", ""basma"", ""aşağı"", ""kaydır"", ""pdf"", ""başlığını"", ""bul"", ""bağlantıyı"", ""kopyala"", ""dosyayı"", ""indir""]",,,
CK-2073,ofis_metin_düzenleme,grafiği yazdırma grafiği görsel olarak indir sonra adını grafik final yap,"[""grafiği"", ""yazdırma"", ""grafiği"", ""görsel"", ""olarak"", ""indir"", ""sonra"", ""adını"", ""grafik"", ""final"", ""yap""]",,,
CK-1848,temel_bilgisayar,şu arşivi seç masaüstüne çıkar,"[""şu"", ""arşivi"", ""seç"", ""masaüstüne"", ""çıkar""]",,,
CK-1507,tarayıcı_internet,tarayıcıda bağlantıyı yapıştr entıra bas çerez uyarısını kapat,"[""tarayıcıda"", ""bağlantıyı"", ""yapıştr"", ""entıra"", ""bas"", ""çerez"", ""uyarısını"", ""kapat""]",,,
CK-1376,tarayıcı_internet,web formunu aç ad alanını seç ad yaz sonraki alana geç,"[""web"", ""formunu"", ""aç"", ""ad"", ""alanını"", ""seç"", ""ad"", ""yaz"", ""sonraki"", ""alana"", ""geç""]",,,
CK-3431,tarayıcı_internet,dosyayı hemen indir,"[""dosyayı"", ""hemen"", ""indir""]",,,
CK-2342,tarayıcı_internet,video alanına tıkla altyazı düğmesini aç oynatma hızını azalt,"[""video"", ""alanına"", ""tıkla"", ""altyazı"", ""düğmesini"", ""aç"", ""oynatma"", ""hızını"", ""azalt""]",,,
CK-1326,tarayıcı_internet,web sayfasını aç aşağı in tabloyu bul satırı kopyala,"[""web"", ""sayfasını"", ""aç"", ""aşağı"", ""in"", ""tabloyu"", ""bul"", ""satırı"", ""kopyala""]",,,
CK-1503,ofis_metin_düzenleme,eksıl dosyasını aç f dokuz hücresini seç değer yaz entera bas,"[""eksıl"", ""dosyasını"", ""aç"", ""f"", ""dokuz"", ""hücresini"", ""seç"", ""değer"", ""yaz"", ""entera"", ""bas""]",,,
CK-3026,dosya_yazılım_geliştirme,kod satırını kesebilir miyiz ama dosyayı silmeyelim,"[""kod"", ""satırını"", ""kesebilir"", ""miyiz"", ""ama"", ""dosyayı"", ""silmeyelim""]",,,
