gold,pred,count
SEKME_DEĞİŞTİR,GEÇ,29
GİT,__NO_MAJORITY__,10
O,AÇ,9
GEÇ,GİT,8
SEKME_DEĞİŞTİR,__NO_MAJORITY__,8
O,SEÇ,7
DİĞER,__NO_MAJORITY__,7
YENİDEN_ADLANDIR,__NO_MAJORITY__,6
YENİDEN_ADLANDIR,YAZ,6
YİNELE,__NO_MAJORITY__,6
O,BUL,5
BÜYÜT,O,4
DEĞİŞTİR,O,4
O,__NO_MAJORITY__,4
O,ARA,4
YENİ_OLUŞTUR,AÇ,3
ARTIR,AÇ,3
BÜYÜT,__NO_MAJORITY__,3
AZALT,O,3
DİĞER,DEĞİŞTİR,2
DİĞER,__INVALID__:GÖSTER,2
YENİDEN_ADLANDIR,DEĞİŞTİR,2
YÜKLE,TIKLA,2
İNDİR,O,2
YAZDIR,O,2
O,GEÇ,2
O,KAYDET,2
KÜÇÜLT,O,2
KAYDET,YAZ,2
TIKLA,O,2
