challenge_no,raw_command,segment_no,pred_label,pred_segment
1,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,1,AÇ,Semih klasörünü aç
1,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,2,YENİ_OLUŞTUR,içine yeni bir txt dosyası oluştur
1,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,3,YENİDEN_ADLANDIR,ismini de deneme yap
2,Projelerim klasörüne git ve içindeki her şeyi sil,1,GİT,Projelerim klasörüne git
2,Projelerim klasörüne git ve içindeki her şeyi sil,2,SİL,içindeki her şeyi sil
3,görev yöneticisini aç sonra da word'ü oradan kapat,1,AÇ,görev yöneticisini aç
3,görev yöneticisini aç sonra da word'ü oradan kapat,2,KAPAT,word'ü oradan kapat
4,bilgisayarın sesini 45'e getir,1,GEÇ,bilgisayarın sesini 45'e getir
5,sağ tıkla ve yeni bir klasör oluştur,1,TIKLA,sağ tıkla
5,sağ tıkla ve yeni bir klasör oluştur,2,YENİ_OLUŞTUR,yeni bir klasör oluştur
6,denetim masasını açıp fare ayarlarına git,1,AÇ,denetim masasını açıp
6,denetim masasını açıp fare ayarlarına git,2,GİT,fare ayarlarına git
7,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,1,TAŞI,ekranı projeksiyona yansıt
7,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,2,AÇ,sunum dosyasını aç
8,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,1,DİĞER,geri dönüşüm kutusunu boşalt
8,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,2,GEÇ,masaüstüne dön
9,şu indirdiğim dosyayı açma ya sadece adının sonuna yedek ekle,1,BOŞLUK,adının sonuna
9,şu indirdiğim dosyayı açma ya sadece adının sonuna yedek ekle,2,YAZ,yedek
9,şu indirdiğim dosyayı açma ya sadece adının sonuna yedek ekle,3,BOŞLUK,ekle
10,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,1,YENİ_OLUŞTUR,yeni bir klasör oluştur
10,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,2,BOŞLUK,boş bir not dosyası koy
11,"yok onu silme, dosyayı belgeler klasörüne taşı sadece",1,TAŞI,dosyayı belgeler klasörüne taşı
12,ayarlarda ekran parlaklığını biraz azalt sesle uğraşma,1,AZALT,ayarlarda ekran parlaklığını biraz azalt
13,şey görev yöneticisini aç ama hiçbir işlemi kapatma,1,AÇ,görev yöneticisini aç
14,masaüstündeki eski ekran görüntülerini silme sadece ayrı bir klasöre taşı,1,TAŞI,ayrı bir klasöre taşı
15,şu pencere çok büyük oldu biraz küçült ve sağ tarafa al,1,KÜÇÜLT,biraz küçült
15,şu pencere çok büyük oldu biraz küçült ve sağ tarafa al,2,TAŞI,sağ tarafa al
16,dosyayı yeniden adlandır ama uzantısına dokunma,1,YENİDEN_ADLANDIR,dosyayı yeniden adlandır
