id,no,domain,raw_command,token_count,predicted_task_count,predicted_task_labels,predicted_task_segments,review_flag,manual_keep,manual_corrected_task_segments,manual_corrected_task_labels,manual_note,needs_review
CK-3703,1,temel_bilgisayar,şu açık pencereyi kenara al ama kapatma,7,1,TAŞI,TAŞI:açık pencereyi kenara al,riskli_ifade,1,açık pencereyi kenara al,TAŞI,assistant_reviewed_no_change,True
CK-3704,2,temel_bilgisayar,masaüstünde duran klasörü açmadan adının sonuna eski yaz,8,1,YAZ,YAZ:adının sonuna eski yaz,riskli_ifade,1,adının sonuna eski yaz,YENİDEN_ADLANDIR,YAZ yerine YENİDEN_ADLANDIR olarak düzeltildi.,True
CK-3705,3,temel_bilgisayar,ayarlarda ses kısmına git ve seviyeyi 25 yap,8,2,GİT ; DEĞİŞTİR,GİT:ayarlarda ses kısmına git ; DEĞİŞTİR:seviyeyi 25 yap,riskli_ifade | kontrol_gereken_label,1,ayarlarda ses kısmına git ; seviyeyi 25 yap,GİT ; DEĞİŞTİR,assistant_reviewed_no_change,True
CK-3706,4,temel_bilgisayar,parlaklığı biraz değil direkt 45’e çek,6,1,KAYDIR,KAYDIR:direkt 45’e çek,riskli_ifade,1,parlaklığı biraz değil direkt 45’e çek,DEĞİŞTİR,Parlaklık değeri ayarlama olduğu için DEĞİŞTİR.,True
CK-3707,5,temel_bilgisayar,hayır orası değil görev çubuğundaki arama yerine geç,8,1,GEÇ,GEÇ:arama yerine geç,riskli_ifade | kontrol_gereken_label,1,arama yerine geç,GEÇ,assistant_reviewed_no_change,True
CK-3709,7,temel_bilgisayar,şu bildirimi silme sadece gizle,5,1,DİĞER,DİĞER:gizle,riskli_ifade | kontrol_gereken_label,1,gizle,DİĞER,assistant_reviewed_no_change,True
CK-3710,8,temel_bilgisayar,açık olan pencereyi küçült sonra masaüstünü göster,7,2,KÜÇÜLT ; DİĞER,KÜÇÜLT:açık olan pencereyi küçült ; DİĞER:masaüstünü göster,riskli_ifade | kontrol_gereken_label,1,açık olan pencereyi küçült ; masaüstünü göster,KÜÇÜLT ; DİĞER,assistant_reviewed_no_change,True
CK-3711,9,temel_bilgisayar,imleç boyutunu büyük yapma orta ayara getir,7,2,GEÇ ; DİĞER,GEÇ:orta ayara ; DİĞER:getir,riskli_ifade | kontrol_gereken_label,1,imleç boyutunu büyük yapma orta ayara getir,DEĞİŞTİR,İmleç boyutu ayarı değiştirme görevi.,True
CK-3716,14,temel_bilgisayar,ayarlar penceresini kapatma erişilebilirlik bölümüne dön,6,1,GEÇ,GEÇ:erişilebilirlik bölümüne dön,riskli_ifade | kontrol_gereken_label,1,erişilebilirlik bölümüne dön,GEÇ,assistant_reviewed_no_change,True
CK-3717,15,temel_bilgisayar,bu pencereyi biraz aşağı taşı üst taraf görünsün,8,2,TAŞI ; DİĞER,TAŞI:bu pencereyi biraz aşağı taşı ; DİĞER:üst taraf görünsün,kontrol_gereken_label,1,bu pencereyi biraz aşağı taşı,TAŞI,Açıklama kısmı görevden çıkarıldı.,True
CK-3718,16,temel_bilgisayar,şey ses ayarını aç hoparlörü 30’a getir,7,2,AÇ ; GEÇ,AÇ:ses ayarını aç ; GEÇ:hoparlörü 30’a getir,riskli_ifade | kontrol_gereken_label,1,ses ayarını aç ; hoparlörü 30’a getir,AÇ ; DEĞİŞTİR,Hoparlör seviyesini 30 yapma DEĞİŞTİR.,True
CK-3720,18,temel_bilgisayar,son açılan pencereye geç ve boyutunu biraz küçült,8,2,GEÇ ; KÜÇÜLT,GEÇ:açılan pencereye geç ; KÜÇÜLT:boyutunu biraz küçült,kontrol_gereken_label,1,son açılan pencereye geç ; boyutunu biraz küçült,GEÇ ; KÜÇÜLT,Baştaki son belirteci segmente dahil edildi.,True
CK-3721,19,temel_bilgisayar,masaüstünü yenile sonra indirilenler klasörünü göster,6,2,YİNELE ; DİĞER,YİNELE:masaüstünü yenile ; DİĞER:indirilenler klasörünü göster,riskli_ifade | kontrol_gereken_label,1,masaüstünü yenile ; indirilenler klasörünü göster,YİNELE ; DİĞER,assistant_reviewed_no_change,True
CK-3724,22,temel_bilgisayar,açık uygulamalar arasında bir önceki pencereye dön,7,2,DİĞER ; GEÇ,DİĞER:açık uygulamalar arasında ; GEÇ:bir önceki pencereye dön,riskli_ifade | kontrol_gereken_label,1,bir önceki pencereye dön,GEÇ,Açık uygulamalar arasında ifadesi bağlam olarak bırakıldı.,True
CK-3725,23,temel_bilgisayar,şu küçük kutuyu büyütme yanındaki seçenekleri göster,7,1,DİĞER,DİĞER:yanındaki seçenekleri göster,riskli_ifade | kontrol_gereken_label,1,yanındaki seçenekleri göster,DİĞER,assistant_reviewed_no_change,True
CK-3726,24,temel_bilgisayar,masaüstündeki dağınık simgeleri ada göre sırala,6,1,DİĞER,DİĞER:dağınık simgeleri ada göre sırala,kontrol_gereken_label,1,dağınık simgeleri ada göre sırala,DİĞER,assistant_reviewed_no_change,True
CK-3727,25,temel_bilgisayar,ayarlarda fare hızını 6 yap,5,1,DEĞİŞTİR,DEĞİŞTİR:fare hızını 6 yap,kontrol_gereken_label,1,fare hızını 6 yap,DEĞİŞTİR,assistant_reviewed_no_change,True
