gold,pred,count
YİNELE,DİĞER,10
DİĞER,BOŞLUK,9
DEĞİŞTİR,YENİDEN_ADLANDIR,9
DEĞİŞTİR,DİĞER,8
ARA,O,8
YENİ_OLUŞTUR,BOŞLUK,7
YAZDIR,DİĞER,5
YENİ_OLUŞTUR,AÇ,5
O,YENİDEN_ADLANDIR,4
YENİDEN_ADLANDIR,YAZ,4
SEKME_DEĞİŞTİR,GİT,4
GİT,GEÇ,4
YAZ,O,4
YENİDEN_ADLANDIR,YENİ_OLUŞTUR,4
O,YAZ,4
YENİ_OLUŞTUR,KOPYALA,3
KAYDIR,GEÇ,3
O,DİĞER,3
O,KAYDIR,3
DEĞİŞTİR,O,3
GEÇ,GİT,3
DEĞİŞTİR,KAYDIR,3
O,KOPYALA,3
O,YENİ_OLUŞTUR,3
DİĞER,DEĞİŞTİR,2
AÇ,DİĞER,2
O,YİNELE,2
O,SEKME_DEĞİŞTİR,2
YİNELE,DEĞİŞTİR,2
SEKME_DEĞİŞTİR,GEÇ,2
