id,domain,task_count,raw_command,token_count,token_accuracy,all_tokens_correct,gold_labels,gold_segments,predicted_task_count,predicted_labels,predicted_segments
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,8,0.25,False,GİT,GİT:bir önceki sayfaya geç,1,GEÇ,GEÇ:geri dön bir önceki sayfaya geç
CH-0073,ofis_metin_düzenleme,1,açık olan metinde iki boşluk varsa tek boşluğa indir,9,0.3333333333333333,False,DEĞİŞTİR,DEĞİŞTİR:iki boşluk varsa tek boşluğa indir,1,KÜÇÜLT,KÜÇÜLT:tek boşluğa indir
CH-0076,dosya_yazılım_geliştirme,4,ekrandaki kodu kopyala yeni bir spyder dosyası aç ve içine yapıştır daha sonra dosyanın ismini de yeni proje olarak oluştur,20,0.35,False,KOPYALA ; YENİ_OLUŞTUR ; YAPIŞTIR ; YENİDEN_ADLANDIR,KOPYALA:kodu kopyala ; YENİ_OLUŞTUR:yeni bir spyder dosyası aç ; YAPIŞTIR:içine yapıştır ; YENİDEN_ADLANDIR:yeni proje olarak oluştur,6,KOPYALA ; AÇ ; YAPIŞTIR ; YENİ_OLUŞTUR ; YENİDEN_ADLANDIR ; YENİ_OLUŞTUR,KOPYALA:ekrandaki kodu kopyala ; AÇ:yeni bir spyder dosyası aç ; YAPIŞTIR:içine yapıştır ; YENİ_OLUŞTUR:dosyanın ; YENİDEN_ADLANDIR:ismini de ; YENİ_OLUŞTUR:yeni proje olarak oluştur
CH-0027,tarayıcı_internet,2,bir sonraki sekmeye git tüm sayfayı yazdır,7,0.42857142857142855,False,SEKME_DEĞİŞTİR ; YAZDIR,SEKME_DEĞİŞTİR:bir sonraki sekmeye git ; YAZDIR:tüm sayfayı yazdır,2,GİT ; YAZDIR,GİT:bir sonraki sekmeye git ; YAZDIR:tüm sayfayı yazdır
CH-0061,ofis_metin_düzenleme,2,"Excel'de toplam satırını bul, üstüne yeni bir satır ekle",9,0.4444444444444444,False,BUL ; YENİ_OLUŞTUR,"BUL:toplam satırını bul, ; YENİ_OLUŞTUR:üstüne yeni bir satır ekle",2,BUL ; YAZ,"BUL:toplam satırını bul, ; YAZ:üstüne yeni bir satır ekle"
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,8,0.5,False,DİĞER ; GEÇ,DİĞER:geri dönüşüm kutusunu boşalt ; GEÇ:masaüstüne dön,2,SİL ; GEÇ,SİL:geri dönüşüm kutusunu boşalt ; GEÇ:masaüstüne dön
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,12,0.5833333333333334,False,YENİ_OLUŞTUR ; YENİ_OLUŞTUR,YENİ_OLUŞTUR:yeni bir klasör oluştur ; YENİ_OLUŞTUR:boş bir not dosyası koy,2,YENİ_OLUŞTUR ; YAZ,YENİ_OLUŞTUR:yeni bir klasör oluştur ; YAZ:boş bir not dosyası koy
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,8,0.625,False,DİĞER ; AÇ,DİĞER:ekranı projeksiyona yansıt ; AÇ:sunum dosyasını aç,2,TAŞI ; AÇ,TAŞI:ekranı projeksiyona yansıt ; AÇ:sunum dosyasını aç
CH-0033,tarayıcı_internet,2,Chrome'da açık sekmeyi yenile ve sayfanın başına dön,8,0.625,False,YİNELE ; KAYDIR,YİNELE:açık sekmeyi yenile ; KAYDIR:sayfanın başına dön,2,YİNELE ; GEÇ,YİNELE:açık sekmeyi yenile ; GEÇ:sayfanın başına dön
CH-0099,dosya_yazılım_geliştirme,3,"repo klasöründe docs oluştur, README kopyasını içine koy, adını kullanım yap",11,0.6363636363636364,False,YENİ_OLUŞTUR ; KOPYALA ; YENİDEN_ADLANDIR,"YENİ_OLUŞTUR:docs oluştur, ; KOPYALA:README kopyasını içine koy, ; YENİDEN_ADLANDIR:kullanım yap",5,YENİ_OLUŞTUR ; YENİDEN_ADLANDIR ; KOPYALA ; TAŞI ; YENİDEN_ADLANDIR,"YENİ_OLUŞTUR:docs oluştur, ; YENİDEN_ADLANDIR:README ; KOPYALA:kopyasını ; TAŞI:içine ; YENİDEN_ADLANDIR:koy, adını kullanım yap"
CH-0074,ofis_metin_düzenleme,1,raporun yalnızca ilk sayfasını yazdırmaya hazırla,6,0.6666666666666666,False,YAZDIR,YAZDIR:ilk sayfasını yazdırmaya hazırla,1,YAZDIR,YAZDIR:raporun yalnızca ilk sayfasını yazdırmaya hazırla
CH-0083,dosya_yazılım_geliştirme,3,query sekmesine git select * from yaz ve çalıştır,9,0.6666666666666666,False,SEKME_DEĞİŞTİR ; YAZ ; DİĞER,SEKME_DEĞİŞTİR:query sekmesine git ; YAZ:select * from yaz ; DİĞER:çalıştır,3,GİT ; YAZ ; DİĞER,GİT:query sekmesine git ; YAZ:select * from yaz ; DİĞER:çalıştır
CH-0034,tarayıcı_internet,2,"Chrome'da pdf sekmesine geç, dosyayı indir, sekmeyi açık bırak",9,0.6666666666666666,False,SEKME_DEĞİŞTİR ; İNDİR,"SEKME_DEĞİŞTİR:pdf sekmesine geç, ; İNDİR:dosyayı indir,",3,SEKME_DEĞİŞTİR ; İNDİR ; DİĞER,"SEKME_DEĞİŞTİR:pdf sekmesine geç, ; İNDİR:dosyayı indir, ; DİĞER:sekmeyi açık bırak"
CH-0070,ofis_metin_düzenleme,3,"PowerPoint'te üçüncü slayta git, resmi seç, kenarını biraz büyüt",9,0.6666666666666666,False,GEÇ ; SEÇ ; BÜYÜT,"GEÇ:üçüncü slayta git, ; SEÇ:resmi seç, ; BÜYÜT:kenarını biraz büyüt",3,GİT ; SEÇ ; BÜYÜT,"GİT:üçüncü slayta git, ; SEÇ:resmi seç, ; BÜYÜT:kenarını biraz büyüt"
CH-0026,tarayıcı_internet,2,chrome'u çalıştır ve yeni bir sekme aç,7,0.7142857142857143,False,AÇ ; AÇ,AÇ:chrome'u çalıştır ; AÇ:yeni bir sekme aç,2,DİĞER ; AÇ,DİĞER:çalıştır ; AÇ:yeni bir sekme aç
CH-0032,tarayıcı_internet,2,"hayır göndermiyorsun, formu doldurup taslak olarak bırak",7,0.7142857142857143,False,YAZ ; DİĞER,YAZ:formu doldurup ; DİĞER:taslak olarak bırak,3,YAZ ; BOŞLUK ; DİĞER,YAZ:formu doldurup ; BOŞLUK:taslak olarak ; DİĞER:bırak
CH-0025,temel_bilgisayar,1,bilgisayarın sesi çok yüksek oldu 25'e getir,7,0.7142857142857143,False,AZALT,AZALT:25'e getir,1,DEĞİŞTİR,DEĞİŞTİR:25'e getir
CH-0078,dosya_yazılım_geliştirme,3,kodu commitle ve açıklama olarak da her şey tamamlandı yaz daha sonra da push et,15,0.7333333333333333,False,GÖNDER ; YAZ ; YÜKLE,GÖNDER:kodu commitle ; YAZ:açıklama olarak da her şey tamamlandı yaz ; YÜKLE:push et,3,YENİDEN_ADLANDIR ; YAZ ; DİĞER,YENİDEN_ADLANDIR:kodu commitle ; YAZ:açıklama olarak da her şey tamamlandı yaz ; DİĞER:push et
