model,id,domain,task_count,raw_command,token_count,all_tokens_task_correct,all_tokens_boundary_correct,all_tokens_both_correct,normalized
Gemini,CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,9,True,True,True,True
Gemini,CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,9,True,True,True,True
Gemini,CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,11,False,True,False,True
Gemini,CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,10,True,True,True,True
Gemini,CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,9,True,True,True,True
Gemini,CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,10,True,True,True,True
Gemini,CK-1238,tarayıcı_internet,3,pdfyi büyütüp aşağı kaydırarak tabloyu bul,6,True,True,True,True
Gemini,CK-1248,ofis_metin_düzenleme,3,çalışma kitabını aç ardından sonuç sütununu seç ve formülü aşağı kopyala,11,True,True,True,True
Gemini,CK-1287,temel_bilgisayar,3,ayarları açıp klavye bölümüne giderek tekrar hızını azalt,8,True,True,True,True
Gemini,CK-1299,dosya_yazılım_geliştirme,3,proje klasörüne git ardından readme dosyasını aç ve kurulum bölümünü bul,11,True,True,True,True
Gemini,CK-1314,tarayıcı_internet,2,önceki sekmeyi kapat değil önceki sekmeye geç bağlantıyı kopyala,9,False,True,False,True
Gemini,CK-1320,ofis_metin_düzenleme,3,satırı silme dur satırı seç satırı kes başka sayfaya yapıştır,10,True,True,True,True
Gemini,CK-1323,ofis_metin_düzenleme,4,çalışma kitabını aç puan sütununu seç ortalama yaz enter bas,10,True,True,True,True
Gemini,CK-1333,temel_bilgisayar,3,dosyayı indirip adı değiştirerek arşiv klasörüne taşı,7,False,True,False,True
Gemini,CK-1334,ofis_metin_düzenleme,3,slayttaki simgeyi seçip büyüterek üst köşeye taşı,7,True,True,True,True
Gemini,CK-1344,dosya_yazılım_geliştirme,3,hadi terminale geç bi derleme komutunu yaz entera bas,9,True,True,True,True
Gemini,CK-1350,ofis_metin_düzenleme,3,sunum görünümünü aç ardından konuşmacı notlarına geç ve süre bilgisini yaz,11,True,True,True,True
Gemini,CK-1374,dosya_yazılım_geliştirme,5,terminal aç pytest yaz enter bas hatayı bul kopyala,9,True,True,True,True
Gemini,CK-1391,temel_bilgisayar,2,ya bi şu pencereyi büyüt sonra sağa al,8,True,True,True,True
Gemini,CK-1393,ofis_metin_düzenleme,3,ııı tabloyu seç biraz küçült kaydet hadi,7,False,False,False,True
Gemini,CK-1396,temel_bilgisayar,3,erişilebilirlik panelini aç ardından kontrast temalarına git ve yüksek kontrastı seç,11,True,True,True,True
Gemini,CK-1410,tarayıcı_internet,3,gogıl formu aç dosyya yükle düğmesine tıkla gönder,8,False,True,False,True
Gemini,CK-1432,tarayıcı_internet,2,arama isteğini gönder dur sorguyu değiştir arama isteğini gönder,9,True,True,True,True
Gemini,CK-1437,tarayıcı_internet,2,mesajı silme dur mesajı seç mesajı arşive taşı,8,True,True,True,True
Gemini,CK-1440,tarayıcı_internet,2,son maili açma şey yok gelen kutusuna git son maili seç,11,True,True,True,True
Gemini,CK-1448,dosya_yazılım_geliştirme,4,repo klasörüne git changelog dosyasını bul aç sürüm yaz,9,True,True,True,True
Gemini,CK-1451,temel_bilgisayar,4,masaüstüne geç klasörü bul aç dosyayı seç,7,True,True,True,True
Gemini,CK-1463,temel_bilgisayar,3,klasörü açıp raporu bularak masaüstüne kopyala,6,True,True,True,True
Gemini,CK-1477,temel_bilgisayar,3,indirilen dosyayı bulup seçerek masaüstüne taşı,6,True,True,True,True
Gemini,CK-1481,temel_bilgisayar,2,ya bi şu pencereyi küçült sonra görev çubuğuna dön,9,True,True,True,True
