id,domain,task_count,raw_command,token_index,token,gold,pred,correct
CH-0001,temel_bilgisayar,3,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,11,ismini,O,YENİDEN_ADLANDIR,False
CH-0001,temel_bilgisayar,3,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,12,de,O,YENİDEN_ADLANDIR,False
CH-0003,temel_bilgisayar,2,görev yöneticisini aç sonra da word'ü oradan kapat,5,word'ü,KAPAT,O,False
CH-0003,temel_bilgisayar,2,görev yöneticisini aç sonra da word'ü oradan kapat,6,oradan,KAPAT,O,False
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,0,ekranı,DİĞER,TAŞI,False
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,1,projeksiyona,DİĞER,TAŞI,False
CH-0007,temel_bilgisayar,2,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,2,yansıt,DİĞER,TAŞI,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,0,geri,DİĞER,SİL,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,1,dönüşüm,DİĞER,SİL,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,2,kutusunu,DİĞER,SİL,False
CH-0008,temel_bilgisayar,2,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,3,boşalt,DİĞER,SİL,False
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,7,boş,YENİ_OLUŞTUR,YAZ,False
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,8,bir,YENİ_OLUŞTUR,YAZ,False
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,9,not,YENİ_OLUŞTUR,YAZ,False
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,10,dosyası,YENİ_OLUŞTUR,YAZ,False
CH-0010,temel_bilgisayar,2,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,11,koy,YENİ_OLUŞTUR,YAZ,False
CH-0021,temel_bilgisayar,1,ekrandaki küçük yazıları biraz büyüt gözüm seçmiyor,0,ekrandaki,O,BÜYÜT,False
CH-0022,temel_bilgisayar,1,yanlış yere gittin ayarlarda imleç boyutunu bulacaksın,3,ayarlarda,O,BUL,False
CH-0025,temel_bilgisayar,1,bilgisayarın sesi çok yüksek oldu 25'e getir,5,25'e,AZALT,DEĞİŞTİR,False
CH-0025,temel_bilgisayar,1,bilgisayarın sesi çok yüksek oldu 25'e getir,6,getir,AZALT,DEĞİŞTİR,False
CH-0026,tarayıcı_internet,2,chrome'u çalıştır ve yeni bir sekme aç,0,chrome'u,AÇ,O,False
CH-0026,tarayıcı_internet,2,chrome'u çalıştır ve yeni bir sekme aç,1,çalıştır,AÇ,DİĞER,False
CH-0027,tarayıcı_internet,2,bir sonraki sekmeye git tüm sayfayı yazdır,0,bir,SEKME_DEĞİŞTİR,GİT,False
CH-0027,tarayıcı_internet,2,bir sonraki sekmeye git tüm sayfayı yazdır,1,sonraki,SEKME_DEĞİŞTİR,GİT,False
CH-0027,tarayıcı_internet,2,bir sonraki sekmeye git tüm sayfayı yazdır,2,sekmeye,SEKME_DEĞİŞTİR,GİT,False
CH-0027,tarayıcı_internet,2,bir sonraki sekmeye git tüm sayfayı yazdır,3,git,SEKME_DEĞİŞTİR,GİT,False
CH-0028,tarayıcı_internet,1,yeni sekme açmadan mevcut sekmede üniversite sitesini ara,4,sekmede,ARA,O,False
CH-0032,tarayıcı_internet,2,"hayır göndermiyorsun, formu doldurup taslak olarak bırak",4,taslak,DİĞER,BOŞLUK,False
CH-0032,tarayıcı_internet,2,"hayır göndermiyorsun, formu doldurup taslak olarak bırak",5,olarak,DİĞER,BOŞLUK,False
CH-0033,tarayıcı_internet,2,Chrome'da açık sekmeyi yenile ve sayfanın başına dön,5,sayfanın,KAYDIR,GEÇ,False
CH-0033,tarayıcı_internet,2,Chrome'da açık sekmeyi yenile ve sayfanın başına dön,6,başına,KAYDIR,GEÇ,False
CH-0033,tarayıcı_internet,2,Chrome'da açık sekmeyi yenile ve sayfanın başına dön,7,dön,KAYDIR,GEÇ,False
CH-0034,tarayıcı_internet,2,"Chrome'da pdf sekmesine geç, dosyayı indir, sekmeyi açık bırak",6,sekmeyi,O,DİĞER,False
CH-0034,tarayıcı_internet,2,"Chrome'da pdf sekmesine geç, dosyayı indir, sekmeyi açık bırak",7,açık,O,DİĞER,False
CH-0034,tarayıcı_internet,2,"Chrome'da pdf sekmesine geç, dosyayı indir, sekmeyi açık bırak",8,bırak,O,DİĞER,False
CH-0039,tarayıcı_internet,2,tarayıcıda olduğumuz sayfayı yenile sonra tekrar aşağı in,0,tarayıcıda,O,YİNELE,False
CH-0039,tarayıcı_internet,2,tarayıcıda olduğumuz sayfayı yenile sonra tekrar aşağı in,1,olduğumuz,O,YİNELE,False
CH-0040,tarayıcı_internet,1,bu sayfayı biraz yukarı kaydır başlık kısmı lazım,0,bu,O,KAYDIR,False
CH-0040,tarayıcı_internet,1,bu sayfayı biraz yukarı kaydır başlık kısmı lazım,1,sayfayı,O,KAYDIR,False
CH-0041,tarayıcı_internet,1,şu indirme tamamlandıysa dosyayı açmadan klasörde göster,5,klasörde,DİĞER,TIKLA,False
CH-0043,tarayıcı_internet,1,Chrome demeyeyim işte açık olan internet sayfasında arama yap,3,açık,ARA,O,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,2,geri,O,GEÇ,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,3,dön,O,GEÇ,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,4,bir,GİT,GEÇ,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,5,önceki,GİT,GEÇ,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,6,sayfaya,GİT,GEÇ,False
CH-0046,tarayıcı_internet,1,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,7,geç,GİT,GEÇ,False
CH-0049,tarayıcı_internet,2,Chrome'da açık sekmelerden sağdakine geç ve sayfayı biraz aşağı kaydır,3,sağdakine,SEKME_DEĞİŞTİR,GEÇ,False
CH-0049,tarayıcı_internet,2,Chrome'da açık sekmelerden sağdakine geç ve sayfayı biraz aşağı kaydır,4,geç,SEKME_DEĞİŞTİR,GEÇ,False
CH-0051,ofis_metin_düzenleme,3,yeni bir sayfa aç içine 14 punto olacak şekilde bir başlık ekle başlığa da projem yaz,4,içine,O,YAZ,False
CH-0055,ofis_metin_düzenleme,4,tüm metni seç ve yazı tipini Times new roman yapıp fontunu da 12 ve iki yana yaslı olarak ayarla,13,ve,O,DEĞİŞTİR,False
CH-0061,ofis_metin_düzenleme,2,"Excel'de toplam satırını bul, üstüne yeni bir satır ekle",4,üstüne,YENİ_OLUŞTUR,YAZ,False
CH-0061,ofis_metin_düzenleme,2,"Excel'de toplam satırını bul, üstüne yeni bir satır ekle",5,yeni,YENİ_OLUŞTUR,YAZ,False
CH-0061,ofis_metin_düzenleme,2,"Excel'de toplam satırını bul, üstüne yeni bir satır ekle",6,bir,YENİ_OLUŞTUR,YAZ,False
CH-0061,ofis_metin_düzenleme,2,"Excel'de toplam satırını bul, üstüne yeni bir satır ekle",7,satır,YENİ_OLUŞTUR,YAZ,False
CH-0061,ofis_metin_düzenleme,2,"Excel'de toplam satırını bul, üstüne yeni bir satır ekle",8,ekle,YENİ_OLUŞTUR,YAZ,False
CH-0066,ofis_metin_düzenleme,1,Word belgesini yazdırma ayarına getir ama yazdırmayı başlatma,3,ayarına,YAZDIR,DEĞİŞTİR,False
CH-0066,ofis_metin_düzenleme,1,Word belgesini yazdırma ayarına getir ama yazdırmayı başlatma,4,getir,YAZDIR,DEĞİŞTİR,False
CH-0068,ofis_metin_düzenleme,2,"Excel'de hücredeki fazla boşluğu sil, sonra formülü tekrar uygula",1,hücredeki,O,SİL,False
CH-0070,ofis_metin_düzenleme,3,"PowerPoint'te üçüncü slayta git, resmi seç, kenarını biraz büyüt",1,üçüncü,GEÇ,GİT,False
CH-0070,ofis_metin_düzenleme,3,"PowerPoint'te üçüncü slayta git, resmi seç, kenarını biraz büyüt",2,slayta,GEÇ,GİT,False
CH-0070,ofis_metin_düzenleme,3,"PowerPoint'te üçüncü slayta git, resmi seç, kenarını biraz büyüt",3,"git,",GEÇ,GİT,False
CH-0073,ofis_metin_düzenleme,1,açık olan metinde iki boşluk varsa tek boşluğa indir,3,iki,DEĞİŞTİR,O,False
CH-0073,ofis_metin_düzenleme,1,açık olan metinde iki boşluk varsa tek boşluğa indir,4,boşluk,DEĞİŞTİR,O,False
