id,domain,task_count,raw_command,token_index,token,annotator_boundary_label,annotator_task_token_label,annotator_note
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,0,dosyya,,,
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,1,gezginini,,,
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,2,aç,,,
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,3,indirmelere,,,
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,4,git,,,
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,5,pdfyi,,,
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,6,bul,,,
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,7,ve,,,
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,8,aç,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,0,klasörü,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,1,sil,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,2,yok,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,3,hayır,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,4,silme,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,5,adını,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,6,arşiv,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,7,yap,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,8,ve,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,9,kaydet,,,
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,0,maili,,,
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,1,gönder,,,
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,2,dur,,,
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,3,ek,,,
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,4,koymadım,,,
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,5,dosyayı,,,
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,6,yükle,,,
