gold,pred,count
YENİ_OLUŞTUR,__INVALID__:OLUŞTUR,33
SEKME_DEĞİŞTİR,GEÇ,29
YENİDEN_ADLANDIR,__INVALID__:YAP,19
O,SEÇ,15
O,AÇ,11
O,GÖNDER,8
GEÇ,GİT,8
YİNELE,__INVALID__:YENİLE,6
O,BUL,6
YENİDEN_ADLANDIR,__INVALID__:EKLE,6
YENİDEN_ADLANDIR,YAZ,6
GİT,__INVALID__:GÖSTER,5
YAZDIR,O,5
BÜYÜT,O,4
DEĞİŞTİR,O,4
GİT,__INVALID__:GÖTÜR,4
O,ARA,4
O,KAPAT,4
O,YAZDIR,3
DEĞİŞTİR,__INVALID__:GETİR,3
ARTIR,AÇ,3
AZALT,O,3
GEÇ,YAZ,3
GEÇ,__INVALID__:DÖN,3
DİĞER,__INVALID__:GÖSTER,3
SEÇ,O,3
YENİ_OLUŞTUR,AÇ,3
TAŞI,O,3
SEKME_DEĞİŞTİR,__INVALID__:DÖN,3
SEÇ,YAZ,3
