id,domain,task_count,raw_command,token_index,token,gold_boundary_label,gold_task_token_label
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,0,dosyya,B-TASK,AÇ
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,1,gezginini,I-TASK,AÇ
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,2,aç,I-TASK,AÇ
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,3,indirmelere,B-TASK,GİT
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,4,git,I-TASK,GİT
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,5,pdfyi,B-TASK,BUL
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,6,bul,I-TASK,BUL
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,7,ve,O,O
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,8,aç,B-TASK,AÇ
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,0,klasörü,O,O
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,1,sil,O,O
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,2,yok,O,O
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,3,hayır,O,O
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,4,silme,O,O
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,5,adını,B-TASK,YENİDEN_ADLANDIR
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,6,arşiv,I-TASK,YENİDEN_ADLANDIR
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,7,yap,I-TASK,YENİDEN_ADLANDIR
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,8,ve,O,O
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,9,kaydet,B-TASK,KAYDET
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,0,maili,O,O
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,1,gönder,O,O
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,2,dur,O,O
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,3,ek,O,O
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,4,koymadım,O,O
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,5,dosyayı,B-TASK,YÜKLE
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,6,yükle,I-TASK,YÜKLE
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,7,sonra,O,O
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,8,gönder,B-TASK,GÖNDER
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,0,sekmeyi,O,O
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,1,kapat,O,O
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,2,değil,O,O
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,3,onu,O,O
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,4,değil,O,O
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,5,önce,O,O
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,6,sonraki,B-TASK,SEKME_DEĞİŞTİR
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,7,sekmeye,I-TASK,SEKME_DEĞİŞTİR
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,8,geç,I-TASK,SEKME_DEĞİŞTİR
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,9,sonra,O,O
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,10,kapat,B-TASK,KAPAT
CK-1217,dosya_yazılım_geliştirme,3,terminali kapat yanlış oldu çıktıyı seç kopyala sonra kapat,0,terminali,O,O
CK-1217,dosya_yazılım_geliştirme,3,terminali kapat yanlış oldu çıktıyı seç kopyala sonra kapat,1,kapat,O,O
CK-1217,dosya_yazılım_geliştirme,3,terminali kapat yanlış oldu çıktıyı seç kopyala sonra kapat,2,yanlış,O,O
CK-1217,dosya_yazılım_geliştirme,3,terminali kapat yanlış oldu çıktıyı seç kopyala sonra kapat,3,oldu,O,O
CK-1217,dosya_yazılım_geliştirme,3,terminali kapat yanlış oldu çıktıyı seç kopyala sonra kapat,4,çıktıyı,B-TASK,SEÇ
CK-1217,dosya_yazılım_geliştirme,3,terminali kapat yanlış oldu çıktıyı seç kopyala sonra kapat,5,seç,I-TASK,SEÇ
CK-1217,dosya_yazılım_geliştirme,3,terminali kapat yanlış oldu çıktıyı seç kopyala sonra kapat,6,kopyala,B-TASK,KOPYALA
CK-1217,dosya_yazılım_geliştirme,3,terminali kapat yanlış oldu çıktıyı seç kopyala sonra kapat,7,sonra,O,O
