id,domain,task_count,raw_command,tokens_json,token_count,annotator_boundary_labels_json,annotator_task_token_labels_json,annotator_note
CK-1205,temel_bilgisayar,4,dosyya gezginini aç indirmelere git pdfyi bul ve aç,"[""dosyya"", ""gezginini"", ""aç"", ""indirmelere"", ""git"", ""pdfyi"", ""bul"", ""ve"", ""aç""]",9,,,
CK-1211,temel_bilgisayar,2,klasörü sil yok hayır silme adını arşiv yap ve kaydet,"[""klasörü"", ""sil"", ""yok"", ""hayır"", ""silme"", ""adını"", ""arşiv"", ""yap"", ""ve"", ""kaydet""]",10,,,
CK-1212,tarayıcı_internet,2,maili gönder dur ek koymadım dosyayı yükle sonra gönder,"[""maili"", ""gönder"", ""dur"", ""ek"", ""koymadım"", ""dosyayı"", ""yükle"", ""sonra"", ""gönder""]",9,,,
CK-1214,tarayıcı_internet,2,sekmeyi kapat değil onu değil önce sonraki sekmeye geç sonra kapat,"[""sekmeyi"", ""kapat"", ""değil"", ""onu"", ""değil"", ""önce"", ""sonraki"", ""sekmeye"", ""geç"", ""sonra"", ""kapat""]",11,,,
CK-1217,dosya_yazılım_geliştirme,3,terminali kapat yanlış oldu çıktıyı seç kopyala sonra kapat,"[""terminali"", ""kapat"", ""yanlış"", ""oldu"", ""çıktıyı"", ""seç"", ""kopyala"", ""sonra"", ""kapat""]",9,,,
CK-1221,temel_bilgisayar,4,dosya gezginini aç indirilenlere git kurulum dosyasını bul çalıştır,"[""dosya"", ""gezginini"", ""aç"", ""indirilenlere"", ""git"", ""kurulum"", ""dosyasını"", ""bul"", ""çalıştır""]",9,,,
CK-1225,temel_bilgisayar,4,pencereyi küçült masaüstüne geç klasörü bul aç,"[""pencereyi"", ""küçült"", ""masaüstüne"", ""geç"", ""klasörü"", ""bul"", ""aç""]",7,,,
CK-1227,ofis_metin_düzenleme,4,sunumu aç son slayta geç not alanını seç açıklama yaz,"[""sunumu"", ""aç"", ""son"", ""slayta"", ""geç"", ""not"", ""alanını"", ""seç"", ""açıklama"", ""yaz""]",10,,,
CK-1228,dosya_yazılım_geliştirme,4,src klasörüne git api dosyasını bul aç endpoint değiştir,"[""src"", ""klasörüne"", ""git"", ""api"", ""dosyasını"", ""bul"", ""aç"", ""endpoint"", ""değiştir""]",9,,,
CK-1229,temel_bilgisayar,4,arama panelini aç yazıcı yaz sonucu aç test sayfası yazdır,"[""arama"", ""panelini"", ""aç"", ""yazıcı"", ""yaz"", ""sonucu"", ""aç"", ""test"", ""sayfası"", ""yazdır""]",10,,,
