gold,pred,count
SEKME_DEĞİŞTİR,GİT,7
YENİDEN_ADLANDIR,BOŞLUK,7
YENİ_OLUŞTUR,AÇ,5
YENİ_OLUŞTUR,YAZ,5
YENİ_OLUŞTUR,BOŞLUK,5
KOPYALA,TAŞI,4
GİT,GEÇ,4
O,YENİDEN_ADLANDIR,4
DİĞER,TAŞI,4
YENİDEN_ADLANDIR,YENİ_OLUŞTUR,4
O,BUL,4
DEĞİŞTİR,GEÇ,4
DİĞER,O,3
ARA,O,3
DEĞİŞTİR,İNDİR,3
GEÇ,GİT,3
YAZDIR,DİĞER,3
DEĞİŞTİR,O,3
O,KAYDIR,3
O,YAZ,3
O,YENİ_OLUŞTUR,3
KAYDIR,GEÇ,3
YAZ,BOŞLUK,3
YAZDIR,GEÇ,2
O,GEÇ,2
DİĞER,TIKLA,2
AZALT,DİĞER,2
AÇ,DİĞER,2
O,YİNELE,2
SEKME_DEĞİŞTİR,GEÇ,2
O,GİT,2
O,KOPYALA,2
DİĞER,BOŞLUK,2
O,DİĞER,2
KAPAT,O,1
GÖNDER,YENİDEN_ADLANDIR,1
GÖNDER,O,1
DİĞER,YAPIŞTIR,1
DEĞİŞTİR,YENİDEN_ADLANDIR,1
ARA,BUL,1
O,DEĞİŞTİR,1
O,AZALT,1
O,SEKME_DEĞİŞTİR,1
O,SİL,1
O,KAPAT,1
O,BÜYÜT,1
YAZ,DİĞER,1
YENİDEN_ADLANDIR,YAZ,1
YÜKLE,YAZ,1
YÜKLE,YENİDEN_ADLANDIR,1
