challenge_no,raw_command,token_count,predicted_task_count,predicted_labels,predicted_segments,exact_duplicate_in_master,exact_duplicate_master_id,nearest_master_id,nearest_master_similarity,nearest_master_raw_command
1,masaüstündeki Semih klasörünü aç ve içine yeni bir txt dosyası oluştur ismini de deneme yap,15,3,AÇ ; YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,AÇ:Semih klasörünü aç ; YENİ_OLUŞTUR:içine yeni bir txt dosyası oluştur ; YENİDEN_ADLANDIR:ismini de deneme yap,False,,CK-2288,0.627906976744186,sol paneldeki test klasörüne geç yeni test dosyası oluştur içine basit assert yaz
2,Projelerim klasörüne git ve içindeki her şeyi sil,8,2,GİT ; SİL,GİT:Projelerim klasörüne git ; SİL:içindeki her şeyi sil,False,,CK-3578,0.5348837209302325,proje klasörüne geçmeden terminali aç
3,görev yöneticisini aç sonra da word'ü oradan kapat,8,2,AÇ ; KAPAT,AÇ:görev yöneticisini aç ; KAPAT:word'ü oradan kapat,False,,CK-1793,0.5742574257425742,referans yöneticisini aç ardından eksik kaynağı bul
4,bilgisayarın sesini 45'e getir,4,1,GEÇ,GEÇ:bilgisayarın sesini 45'e getir,False,,CK-1842,0.5079365079365079,şu başlığı seç kalın biçime getir
5,sağ tıkla ve yeni bir klasör oluştur,7,2,TIKLA ; YENİ_OLUŞTUR,TIKLA:sağ tıkla ; YENİ_OLUŞTUR:yeni bir klasör oluştur,False,,CK-3284,0.6060606060606061,src ye geç yeni helper oluştur
6,denetim masasını açıp fare ayarlarına git,6,2,AÇ ; GİT,AÇ:denetim masasını açıp ; GİT:fare ayarlarına git,False,,CK-2630,0.7722772277227723,denetim masasını aç fare ayarlarına git işaretçi izini kapat
7,ekranı projeksiyona yansıt sonra da sunum dosyasını aç,8,2,TAŞI ; AÇ,TAŞI:ekranı projeksiyona yansıt ; AÇ:sunum dosyasını aç,False,,CK-3204,0.5567010309278351,ekranı kapatma yalnız sağdaki uyarıyı kapat
8,geri dönüşüm kutusunu boşalt daha sonra masaüstüne dön,8,2,DİĞER ; GEÇ,DİĞER:geri dönüşüm kutusunu boşalt ; GEÇ:masaüstüne dön,False,,CK-2610,0.6434782608695652,geri dönüşüm kutusunu boşaltma yok sadece içindekileri göster
9,şu indirdiğim dosyayı açma ya sadece adının sonuna yedek ekle,10,3,BOŞLUK ; YAZ ; BOŞLUK,BOŞLUK:adının sonuna ; YAZ:yedek ; BOŞLUK:ekle,False,,CK-2707,0.6021505376344086,dosyayı açma sadece adını göster
10,masaüstünde yeni bir klasör oluştur içine de boş bir not dosyası koy,12,2,YENİ_OLUŞTUR ; BOŞLUK,YENİ_OLUŞTUR:yeni bir klasör oluştur ; BOŞLUK:boş bir not dosyası koy,False,,CK-3620,0.6511627906976745,masaüstünde yeni not klasörü oluştur adını erişim notları yap
11,"yok onu silme, dosyayı belgeler klasörüne taşı sadece",8,1,TAŞI,TAŞI:dosyayı belgeler klasörüne taşı,False,,CK-2190,0.6050420168067226,indirilen zip dosyasını seç projeler klasörüne taşı adını değiştir
12,ayarlarda ekran parlaklığını biraz azalt sesle uğraşma,7,1,AZALT,AZALT:ayarlarda ekran parlaklığını biraz azalt,False,,CK-2408,0.6434782608695652,çok parlak oldu ekran parlaklığını azalt sesi de azıcık artır
13,şey görev yöneticisini aç ama hiçbir işlemi kapatma,8,1,AÇ,AÇ:görev yöneticisini aç,False,,CK-2308,0.6115702479338843,görev yöneticisini aç performans sekmesine geç işlemci grafiğini büyüt
14,masaüstündeki eski ekran görüntülerini silme sadece ayrı bir klasöre taşı,10,1,TAŞI,TAŞI:ayrı bir klasöre taşı,False,,CK-3506,0.5172413793103449,masaüstündeki erişilebilirlik klasörünü bul
15,şu pencere çok büyük oldu biraz küçült ve sağ tarafa al,11,2,KÜÇÜLT ; TAŞI,KÜÇÜLT:biraz küçült ; TAŞI:sağ tarafa al,False,,CK-2321,0.6727272727272727,o pencere çok büyük ya biraz küçült sol üst köşeye taşı
16,dosyayı yeniden adlandır ama uzantısına dokunma,6,1,YENİDEN_ADLANDIR,YENİDEN_ADLANDIR:dosyayı yeniden adlandır,False,,CK-2824,0.6744186046511628,main dosyasını yeniden adlandırır mısın
17,ayarlar aramasına erişilebilirlik yaz ve çıkan ilk sonuca git,9,2,YAZ ; GİT,YAZ:ayarlar aramasına erişilebilirlik yaz ; GİT:çıkan ilk sonuca git,False,,CK-2615,0.7230769230769231,başlat aramasını açıp erişilebilirlik yazdıktan sonra çıkan sonucu aç
18,"dosyayı silme, adının başına taslak ekle ve kaydet",8,2,BOŞLUK ; KAYDET,BOŞLUK:adının başına taslak ekle ; KAYDET:kaydet,False,,CK-2014,0.6181818181818182,dosyayı silme dosyayı seç adını arşiv yap değişikliği kaydet
19,masaüstünde ekran okuyucu kısayolunu bul ve görev çubuğuna sabitle,9,4,BUL ; DİĞER ; TAŞI ; DİĞER,BUL:ekran okuyucu kısayolunu bul ; DİĞER:görev ; TAŞI:çubuğuna ; DİĞER:sabitle,False,,CK-2021,0.6046511627906976,klasör kısayolunu seç görev çubuğuna sabitle ve pencereyi kapat
20,"ayarlar penceresini kapatma, imleç boyutunu biraz büyüt",7,1,BÜYÜT,BÜYÜT:imleç boyutunu biraz büyüt,False,,CK-3475,0.6218487394957983,yazdırma penceresini kapat metni kes boşluk bırak belgeyi kaydet
21,ekrandaki küçük yazıları biraz büyüt gözüm seçmiyor,7,1,BÜYÜT,BÜYÜT:ekrandaki küçük yazıları biraz büyüt,False,,CK-3015,0.55,şu yazı biraz büyüse iyi olur
22,yanlış yere gittin ayarlarda imleç boyutunu bulacaksın,7,1,BUL,BUL:ayarlarda imleç boyutunu bulacaksın,False,,CK-1686,0.5436893203883495,ya şu site ayarlarında bildirimleri bul kapatıver
23,o dosyayı silme sadece yedek klasörüne taşı,7,1,TAŞI,TAŞI:yedek klasörüne taşı,False,,CK-1804,0.8210526315789474,dosyayı silme sakın belgeyi seç yedek klasörüne taşı
24,masaüstündeki son oluşturduğumuz klasörü aç,5,1,AÇ,AÇ:son oluşturduğumuz klasörü aç,False,,CK-3506,0.5813953488372093,masaüstündeki erişilebilirlik klasörünü bul
25,bilgisayarın sesi çok yüksek oldu 25'e getir,7,1,DİĞER,DİĞER:25'e getir,False,,CK-2084,0.49056603773584906,config satırını seç eski yolu kes yeni yolu yaz dosyayı kaydet
26,chrome'u çalıştır ve yeni bir sekme aç,7,2,DİĞER ; AÇ,DİĞER:chrome'u çalıştır ; AÇ:yeni bir sekme aç,False,,CK-2450,0.5048543689320388,yer imleri çubuğunu aç kütüphane bağlantısını seç yeni sekmede aç
27,bir sonraki sekmeye git tüm sayfayı yazdır,7,2,GİT ; YAZDIR,GİT:bir sonraki sekmeye git ; YAZDIR:tüm sayfayı yazdır,False,,CK-3434,0.7105263157894737,sonraki sekmeye geç sayfayı yenile
28,yeni sekme açmadan mevcut sekmede üniversite sitesini ara,8,2,ARA ; ARA,ARA:mevcut ; ARA:üniversite sitesini ara,False,,CK-3550,0.6218487394957983,yeni sekme aç üniversite sitesine git duyurular kelimesini ara
29,tarayıcıdaki indirme sayfasını yenile sonra pdf dosyasını indir,8,2,YİNELE ; İNDİR,YİNELE:indirme sayfasını yenile ; İNDİR:pdf dosyasını indir,False,,CK-2813,0.5849056603773585,indirme deme ya pdf dosyasını indirir misin
30,"Chrome'da bu sekmeyi kapat, sonra soldaki sekmeye geç",8,2,KAPAT ; SEKME_DEĞİŞTİR,"KAPAT:sekmeyi kapat, ; SEKME_DEĞİŞTİR:soldaki sekmeye geç",False,,CK-3634,0.64,bu sekmeyi kapat sol sekmeye geç aramayı yinele
31,"Chrome'da arama sonucunu açma, sadece bağlantı adresini kopyala",8,1,KOPYALA,KOPYALA:bağlantı adresini kopyala,False,,CK-1670,0.6017699115044248,arama sonucunu açıp pdf bağlantısını bularak indir
32,"hayır göndermiyorsun, formu doldurup taslak olarak bırak",7,5,DİĞER ; YAZ ; BOŞLUK ; YAPIŞTIR ; BOŞLUK,DİĞER:formu ; YAZ:doldurup ; BOŞLUK:taslak ; YAPIŞTIR:olarak ; BOŞLUK:bırak,False,,CK-3534,0.5360824742268041,bu formu göndermeden taslak olarak kaydet
33,Chrome'da açık sekmeyi yenile ve sayfanın başına dön,8,2,YİNELE ; GEÇ,YİNELE:açık sekmeyi yenile ; GEÇ:sayfanın başına dön,False,,CK-3537,0.6875,önceki sekmeye geç ve sayfanın başına kaydır
34,"Chrome'da pdf sekmesine geç, dosyayı indir, sekmeyi açık bırak",9,4,SEKME_DEĞİŞTİR ; İNDİR ; KAPAT ; DİĞER,"SEKME_DEĞİŞTİR:pdf sekmesine geç, ; İNDİR:dosyayı indir, ; KAPAT:sekmeyi ; DİĞER:açık bırak",False,,CK-3660,0.5689655172413793,terminal sekmesine geç komut satırına bir boşluk bırak
35,"Chrome'da başvuru sayfasını yenile, sonra ekli dosyayı indir",8,2,YİNELE ; İNDİR,"YİNELE:başvuru sayfasını yenile, ; İNDİR:ekli dosyayı indir",False,,CK-3335,0.6,sayfayı yenileme bağlantıya tıkla ve dosyayı indir
36,şu arama yerine hata kodunu yazıp sonucu açmadan bırak,9,1,YAZ,YAZ:hata kodunu yazıp,False,,CK-1459,0.6095238095238096,arama panelini aç mikrofon yaz sonucu aç sesi artır
37,biraz aşağı kaydır ya şu butonu göremiyorum,7,1,KAYDIR,KAYDIR:biraz aşağı kaydır,False,,CK-3570,0.5128205128205128,tabloyu aşağı kaydır son satırı seç
38,şu mavi düğmeye basma yanındaki indirme şeyine tıkla,8,1,TIKLA,TIKLA:yanındaki indirme şeyine tıkla,False,,CK-3207,0.6206896551724138,şuradaki düğmeye basıver yani tıkla
39,tarayıcıda olduğumuz sayfayı yenile sonra tekrar aşağı in,8,2,YİNELE ; KAYDIR,YİNELE:tarayıcıda olduğumuz sayfayı yenile ; KAYDIR:tekrar aşağı in,False,,CK-3443,0.5555555555555556,sayfayı yenile sonraki sekmeye geç bağlantıyı indir
40,bu sayfayı biraz yukarı kaydır başlık kısmı lazım,8,1,KAYDIR,KAYDIR:bu sayfayı biraz yukarı kaydır,False,,CK-3239,0.5652173913043478,sayfanın ortasına kaydır bağlantıyı kopyala
41,şu indirme tamamlandıysa dosyayı açmadan klasörde göster,7,1,TIKLA,TIKLA:klasörde göster,False,,CK-2643,0.6796116504854369,indirme balonunu aç son dosyayı klasörde göster
42,o sekmeyi yenileme sadece önceki sekmeye dön,7,1,SEKME_DEĞİŞTİR,SEKME_DEĞİŞTİR:önceki sekmeye dön,False,,CK-1635,0.5918367346938775,sekmeyi yenileme dur adres çubuğunu seç yeni adres yaz
43,Chrome demeyeyim işte açık olan internet sayfasında arama yap,9,2,BUL ; ARA,BUL:internet ; ARA:sayfasında arama yap,False,,CK-3537,0.45714285714285713,önceki sekmeye geç ve sayfanın başına kaydır
44,o butona tıklama ya sadece yanında çıkan yazıyı seç,9,1,SEÇ,SEÇ:yanında çıkan yazıyı seç,False,,CK-3355,0.5348837209302325,dipnot ekleme sadece kaynakçayı seç
45,şu sayfada başvuru dosyası nerede onu bulup indir,8,2,BUL ; İNDİR,BUL:başvuru dosyası nerede onu bulup ; İNDİR:indir,False,,CK-2730,0.5208333333333334,şu sitede üstteki arama büyüteci nerede onu bul
46,yanlış sekmedeyiz geri dön bir önceki sayfaya geç,8,1,GEÇ,GEÇ:geri dön bir önceki sayfaya geç,False,,CK-3033,0.5434782608695652,yan sekmeye geçelim mi sonra bir yenilesene
47,şu listeyi aşağı kaydır en sondaki seçeneği seç,8,2,KAYDIR ; SEÇ,KAYDIR:şu listeyi aşağı kaydır ; SEÇ:en sondaki seçeneği seç,False,,CK-3029,0.6813186813186813,listeyi aşağı kaydırsana sonra o simgeyi seç
48,tarayıcıda aramayı tekrar yap ama ilk sonuca tıklama,8,1,YİNELE,YİNELE:aramayı tekrar yap,False,,CK-1442,0.5360824742268041,arama alanını seç sorgu yaz ara ilk sonucu aç
49,Chrome'da açık sekmelerden sağdakine geç ve sayfayı biraz aşağı kaydır,10,3,SEKME_DEĞİŞTİR ; GEÇ ; KAYDIR,SEKME_DEĞİŞTİR:sekmelerden ; GEÇ:sağdakine geç ; KAYDIR:sayfayı biraz aşağı kaydır,False,,CK-3631,0.6370370370370371,reklam sekmesini kapatma sağdaki sekmeye geç sayfayı aşağı kaydır
50,"Chrome'da rapor sayfasına git, sayfayı aşağı kaydır, indirme düğmesini bul",10,3,GİT ; KAYDIR ; BUL,"GİT:rapor sayfasına git, ; KAYDIR:sayfayı aşağı kaydır, ; BUL:indirme düğmesini bul",False,,CK-3137,0.5546218487394958,duyurular sayfasına git dosyayı indirir misin
51,yeni bir sayfa aç içine 14 punto olacak şekilde bir başlık ekle başlığa da projem yaz,16,4,AÇ ; YAZ ; BOŞLUK ; YAZ,AÇ:yeni bir sayfa aç ; YAZ:içine ; BOŞLUK:14 punto olacak ; YAZ:şekilde bir başlık ekle başlığa da projem yaz,False,,CK-3649,0.43478260869565216,gereksiz virgülü sil bir boşluk ekle paragrafı yazdır
52,4 satır 3 sütundan oluşan bir tablo oluştur ilk satırı da birleştir,12,2,YENİ_OLUŞTUR ; DİĞER,YENİ_OLUŞTUR:4 satır 3 sütundan oluşan bir tablo oluştur ; DİĞER:ilk satırı da birleştir,False,,CK-1452,0.4778761061946903,sayfayı aç aşağı in tabloyu bul satırı kopyala
53,açık olan dosyadan kara ile başlayan her şeyi bul ve lara olarak değiştir,13,2,BUL ; DEĞİŞTİR,BUL:açık olan dosyadan kara ile başlayan her şeyi bul ; DEĞİŞTİR:lara olarak değiştir,False,,CK-3575,0.48739495798319327,başlığı ara ilk eşleşmeyi seç rengini değiştir
54,ilk paragrafı kes ve sayfanın sonuna yapıştır,7,2,KES ; YAPIŞTIR,KES:ilk paragrafı kes ; YAPIŞTIR:sayfanın sonuna yapıştır,False,,CK-1667,0.6888888888888889,paragrafı seçerek kesip özet alanına yapıştır
55,tüm metni seç ve yazı tipini Times new roman yapıp fontunu da 12 ve iki yana yaslı olarak ayarla,19,4,SEÇ ; DEĞİŞTİR ; YENİDEN_ADLANDIR ; DEĞİŞTİR,SEÇ:tüm metni seç ; DEĞİŞTİR:yazı tipini Times new ; YENİDEN_ADLANDIR:roman ; DEĞİŞTİR:yapıp fontunu da 12 ve iki yana yaslı olarak ayarla,False,,CK-2250,0.44,okuma modunu aç yazı tipini büyüt sayfayı aşağı kaydır
56,Word belgesinde giriş başlığını bul altına kısa bir açıklama yaz,10,2,BUL ; YAZ,BUL:giriş başlığını bul ; YAZ:altına kısa bir açıklama yaz,False,,CK-2453,0.6511627906976745,Word'de şu başlığın altına git bir boşluk bırak kısa açıklama yaz
57,Word'de tüm paragrafı kesme sadece ilk cümleyi kopyala,8,1,KOPYALA,KOPYALA:ilk cümleyi kopyala,False,,CK-2254,0.6349206349206349,paragrafı silme dur sadece ilk cümleyi seç kopyala yeni sayfaya yapıştır
58,Excel'de B sütununu seçip genişliğini biraz küçült,7,2,SEÇ ; KÜÇÜLT,SEÇ:B sütununu seçip ; KÜÇÜLT:genişliğini biraz küçült,False,,CK-3572,0.7735849056603774,Excel'de B sütununu seç genişliğini artır dosyayı kaydet
59,Excel tablosunda boş hücreleri bul ilkine kontrol edildi yaz,9,2,BUL ; YAZ,BUL:boş hücreleri bul ; YAZ:ilkine kontrol edildi yaz,False,,CK-1411,0.5185185185185185,eksıl sayfasını aç boş hücreleri bul hepsini sil
60,"PowerPoint'te son slayta geç, resmi seç, biraz sola al",9,3,GEÇ ; SEÇ ; TAŞI,"GEÇ:son slayta geç, ; SEÇ:resmi seç, ; TAŞI:biraz sola al",False,,CK-2455,0.6554621848739496,PowerPoint'te sağdaki görseli seç biraz sola taşı boyutunu küçült
61,"Excel'de toplam satırını bul, üstüne yeni bir satır ekle",9,2,BUL ; YAZ,"BUL:toplam satırını bul, ; YAZ:üstüne yeni bir satır ekle",False,,CK-1679,0.5686274509803921,denklem satırını bulup seçerek yeni formül yaz
62,"Word'deki tabloyu seç, kenarlıklarını sade yap, belgeyi kaydet",8,3,SEÇ ; DEĞİŞTİR ; KAYDET,"SEÇ:tabloyu seç, ; DEĞİŞTİR:kenarlıklarını sade yap, ; KAYDET:belgeyi kaydet",False,,CK-2172,0.7008547008547008,ııı tabloyu seç ya kenarlığı artır sonra belgeyi kaydet
63,"PowerPoint'te başlığı biraz küçült, alt başlığa da boşluk ekle",9,2,KÜÇÜLT ; BOŞLUK,"KÜÇÜLT:başlığı biraz küçült, ; BOŞLUK:alt başlığa da boşluk ekle",False,,CK-2472,0.5686274509803921,başlığı seç kalın yap altına boşluk ekle
64,"Word'de kaynakça başlığını ara, altına yeni bir boş satır bırak",10,2,ARA ; BOŞLUK,"ARA:kaynakça başlığını ara, ; BOŞLUK:altına yeni bir boş satır bırak",False,,CK-2253,0.6451612903225806,Word'de başlık satırını seç kalın yap altına bir boşluk bırak
65,Excel'de formülü tekrar uygula ama satırları silme,7,1,YİNELE,YİNELE:formülü tekrar uygula,False,,CK-2160,0.4807692307692308,şey excelde tabloyu bul ya toplam satırını seç kopyala
66,Word belgesini yazdırma ayarına getir ama yazdırmayı başlatma,8,3,DİĞER ; GEÇ ; DİĞER,DİĞER:Word belgesini ; GEÇ:yazdırma ayarına ; DİĞER:getir,False,,CK-1275,0.5546218487394958,ekran klavyesini aç yazı alanına git merhaba yaz enter bas
67,"PowerPoint'te grafiği seç, boyutunu biraz küçült, sağ alta taşı",9,3,SEÇ ; KÜÇÜLT ; TAŞI,"SEÇ:grafiği seç, ; KÜÇÜLT:boyutunu biraz küçült, ; TAŞI:sağ alta taşı",False,,CK-1835,0.5894736842105263,oradaki grafiği seç biraz küçült
68,"Excel'de hücredeki fazla boşluğu sil, sonra formülü tekrar uygula",9,2,SİL ; YİNELE,"SİL:hücredeki fazla boşluğu sil, ; YİNELE:formülü tekrar uygula",False,,CK-2173,0.5299145299145299,excelde a1 hücresine git formülü yapıştır entera bas
69,"Word'de başlığı büyütme, sadece altındaki açıklamayı italik yap",8,1,DEĞİŞTİR,DEĞİŞTİR:altındaki açıklamayı italik yap,False,,CK-3647,0.5535714285714286,raporda şekil başlığını ara satırı seç italik yap
70,"PowerPoint'te üçüncü slayta git, resmi seç, kenarını biraz büyüt",9,3,GİT ; SEÇ ; BÜYÜT,"GİT:üçüncü slayta git, ; SEÇ:resmi seç, ; BÜYÜT:kenarını biraz büyüt",False,,CK-2356,0.5901639344262295,sunumda üçüncü slayta geç sağdaki görseli seç biraz küçült
71,"Word'de son paragrafı silme, onu kesip önceki sayfaya taşı",9,2,KES ; TAŞI,KES:onu kesip ; TAŞI:önceki sayfaya taşı,False,,CK-2254,0.5076923076923077,paragrafı silme dur sadece ilk cümleyi seç kopyala yeni sayfaya yapıştır
72,"Excel'de C sütununu seç, genişliğini azalt, dosyayı kaydet",8,3,SEÇ ; AZALT ; KAYDET,"SEÇ:C sütununu seç, ; AZALT:genişliğini azalt, ; KAYDET:dosyayı kaydet",False,,CK-3572,0.9122807017543859,Excel'de B sütununu seç genişliğini artır dosyayı kaydet
73,açık olan metinde iki boşluk varsa tek boşluğa indir,9,1,İNDİR,İNDİR:tek boşluğa indir,False,,CK-3208,0.5057471264367817,açık olan pencereye geçsek iyi olur
74,raporun yalnızca ilk sayfasını yazdırmaya hazırla,6,1,YAZDIR,YAZDIR:ilk sayfasını yazdırmaya hazırla,False,,CK-2914,0.5656565656565656,belgeyi kapatma yalnızca bu sayfayı yazdırır mısın
75,belgede seçili kısmı kopyala sonra yorum alanına yapıştır,8,2,KOPYALA ; YAPIŞTIR,KOPYALA:seçili kısmı kopyala ; YAPIŞTIR:yorum alanına yapıştır,False,,CK-2174,0.6842105263157895,seçili metni kopyalayıp yorum alanına yapıştırarak gönder
